Datetime,EKPC
2013-06-01,1323.695652173913
2013-06-02,1225.125
2013-06-03,1237.9166666666667
2013-06-04,1228.25
2013-06-05,1290.0833333333333
2013-06-06,1301.1666666666667
2013-06-07,1259.9583333333333
2013-06-08,1233.9583333333333
2013-06-09,1197.75
2013-06-10,1284.625
2013-06-11,1390.1666666666667
2013-06-12,1560.0833333333333
2013-06-13,1512.6666666666667
2013-06-14,1296.6666666666667
2013-06-15,1333.75
2013-06-16,1296.1666666666667
2013-06-17,1445.625
2013-06-18,1370.1666666666667
2013-06-19,1397.875
2013-06-20,1429.625
2013-06-21,1471.7916666666667
2013-06-22,1496.25
2013-06-23,1465.9583333333333
2013-06-24,1491.5416666666667
2013-06-25,1572.875
2013-06-26,1509.6666666666667
2013-06-27,1477.625
2013-06-28,1504.8333333333333
2013-06-29,1374.5416666666667
2013-06-30,1320.5
2013-07-01,1333.125
2013-07-02,1341.2916666666667
2013-07-03,1321.375
2013-07-04,1178.5833333333333
2013-07-05,1216.8333333333333
2013-07-06,1201.5416666666667
2013-07-07,1321.2083333333333
2013-07-08,1544.625
2013-07-09,1649.5416666666667
2013-07-10,1546.7916666666667
2013-07-11,1464.75
2013-07-12,1369.0833333333333
2013-07-13,1311.0833333333333
2013-07-14,1475.6666666666667
2013-07-15,1640.9583333333333
2013-07-16,1717.0833333333333
2013-07-17,1707.7083333333333
2013-07-18,1723.75
2013-07-19,1673.75
2013-07-20,1638.75
2013-07-21,1492.0416666666667
2013-07-22,1453.0
2013-07-23,1552.5416666666667
2013-07-24,1386.2083333333333
2013-07-25,1373.0833333333333
2013-07-26,1376.3333333333333
2013-07-27,1291.9583333333333
2013-07-28,1217.7083333333333
2013-07-29,1310.0
2013-07-30,1300.1666666666667
2013-07-31,1277.6666666666667
2013-08-01,1383.2083333333333
2013-08-02,1376.4166666666667
2013-08-03,1403.0416666666667
2013-08-04,1344.1666666666667
2013-08-05,1365.2083333333333
2013-08-06,1434.4583333333333
2013-08-07,1467.0
2013-08-08,1527.2083333333333
2013-08-09,1515.7916666666667
2013-08-10,1445.2916666666667
2013-08-11,1487.7916666666667
2013-08-12,1490.0833333333333
2013-08-13,1423.1666666666667
2013-08-14,1238.7083333333333
2013-08-15,1236.4583333333333
2013-08-16,1282.5416666666667
2013-08-17,1289.125
2013-08-18,1270.125
2013-08-19,1427.75
2013-08-20,1459.125
2013-08-21,1422.9583333333333
2013-08-22,1509.7083333333333
2013-08-23,1487.25
2013-08-24,1436.7083333333333
2013-08-25,1393.5833333333333
2013-08-26,1507.9583333333333
2013-08-27,1564.7083333333333
2013-08-28,1657.5416666666667
2013-08-29,1652.75
2013-08-30,1606.25
2013-08-31,1525.6666666666667
2013-09-01,1399.125
2013-09-02,1461.1666666666667
2013-09-03,1383.75
2013-09-04,1317.75
2013-09-05,1354.9166666666667
2013-09-06,1375.75
2013-09-07,1362.2083333333333
2013-09-08,1446.3333333333333
2013-09-09,1575.5833333333333
2013-09-10,1557.9166666666667
2013-09-11,1447.6666666666667
2013-09-12,1353.25
2013-09-13,1203.375
2013-09-14,1074.7916666666667
2013-09-15,1108.625
2013-09-16,1181.5
2013-09-17,1205.875
2013-09-18,1122.75
2013-09-19,1198.625
2013-09-20,1333.4583333333333
2013-09-21,1180.1666666666667
2013-09-22,1082.625
2013-09-23,1149.8333333333333
2013-09-24,1194.75
2013-09-25,1155.5833333333333
2013-09-26,1204.0
2013-09-27,1182.0416666666667
2013-09-28,1142.5416666666667
2013-09-29,601.9583333333334
2013-09-30,1172.0416666666667
2013-10-01,1227.0
2013-10-02,1261.8333333333333
2013-10-03,1289.2083333333333
2013-10-04,1206.0416666666667
2013-10-05,1142.6666666666667
2013-10-06,1043.9166666666667
2013-10-07,981.625
2013-10-08,997.7916666666666
2013-10-09,1020.375
2013-10-10,1086.875
2013-10-11,1126.3333333333333
2013-10-12,1093.1666666666667
2013-10-13,1090.7083333333333
2013-10-14,1139.3333333333333
2013-10-15,1146.125
2013-10-16,1128.5
2013-10-17,1142.75
2013-10-18,1168.75
2013-10-19,1201.5833333333333
2013-10-20,1264.875
2013-10-21,1290.4583333333333
2013-10-22,1263.2083333333333
2013-10-23,1379.4583333333333
2013-10-24,1514.5833333333333
2013-10-25,1526.1666666666667
2013-10-26,1541.5416666666667
2013-10-27,1283.4583333333333
2013-10-28,1242.375
2013-10-29,1169.0416666666667
2013-10-30,1152.2916666666667
2013-10-31,1123.9583333333333
2013-11-01,1083.2916666666667
2013-11-02,1156.5833333333333
2013-11-03,1308.391304347826
2013-11-04,1383.25
2013-11-05,1258.75
2013-11-06,1184.6666666666667
2013-11-07,1303.0416666666667
2013-11-08,1466.375
2013-11-09,1412.1666666666667
2013-11-10,1321.7083333333333
2013-11-11,1483.9583333333333
2013-11-12,1641.5416666666667
2013-11-13,1807.9166666666667
2013-11-14,1699.9583333333333
2013-11-15,1522.9583333333333
2013-11-16,1262.0416666666667
2013-11-17,1146.9166666666667
2013-11-18,1285.2916666666667
2013-11-19,1560.5
2013-11-20,1528.8333333333333
2013-11-21,1397.0
2013-11-22,1270.75
2013-11-23,1549.3333333333333
