Datetime,DAYTON_MW
2004-10-01,1924.1304347826087
2004-10-02,1641.5833333333333
2004-10-03,1528.7083333333333
2004-10-04,1926.5416666666667
2004-10-05,1970.125
2004-10-06,1982.4583333333333
2004-10-07,1975.5833333333333
2004-10-08,1962.625
2004-10-09,1681.25
2004-10-10,1551.875
2004-10-11,1924.8333333333333
2004-10-12,1973.0416666666667
2004-10-13,1970.5416666666667
2004-10-14,1969.0416666666667
2004-10-15,1945.0833333333333
2004-10-16,1735.0416666666667
2004-10-17,1647.9583333333333
2004-10-18,2074.5416666666665
2004-10-19,2018.7916666666667
2004-10-20,1985.7083333333333
2004-10-21,1963.5416666666667
2004-10-22,1942.75
2004-10-23,1712.1666666666667
2004-10-24,1573.0416666666667
2004-10-25,1968.7916666666667
2004-10-26,1993.7916666666667
2004-10-27,1992.4583333333333
2004-10-28,1977.7083333333333
2004-10-29,2015.0416666666667
2004-10-30,1737.625
2004-10-31,1585.2173913043478
2004-11-01,1988.9166666666667
2004-11-02,1984.2916666666667
2004-11-03,2012.75
2004-11-04,2031.4583333333333
2004-11-05,1993.7083333333333
2004-11-06,1736.2916666666667
2004-11-07,1597.8333333333333
2004-11-08,2024.75
2004-11-09,2108.2916666666665
2004-11-10,2068.9583333333335
2004-11-11,2051.2083333333335
2004-11-12,2036.7083333333333
2004-11-13,1824.6666666666667
2004-11-14,1733.6666666666667
2004-11-15,2074.75
2004-11-16,2055.75
2004-11-17,2023.875
2004-11-18,1985.2916666666667
2004-11-19,1940.2916666666667
2004-11-20,1691.25
2004-11-21,1635.7916666666667
2004-11-22,2019.3333333333333
2004-11-23,2008.875
2004-11-24,1994.2083333333333
2004-11-25,1683.7083333333333
2004-11-26,1776.8333333333333
2004-11-27,1693.0833333333333
2004-11-28,1761.875
2004-11-29,2186.4166666666665
2004-11-30,2181.5
2004-12-01,2169.0
2004-12-02,2206.625
2004-12-03,2180.5833333333335
2004-12-04,1972.0416666666667
2004-12-05,1773.625
2004-12-06,2097.7916666666665
2004-12-07,2081.0833333333335
2004-12-08,2127.9166666666665
2004-12-09,2185.125
2004-12-10,2100.75
2004-12-11,1980.3333333333333
2004-12-12,1916.0416666666667
2004-12-13,2349.625
2004-12-14,2442.25
2004-12-15,2423.3333333333335
2004-12-16,2401.2083333333335
2004-12-17,2284.1666666666665
2004-12-18,2090.3333333333335
2004-12-19,2155.9583333333335
2004-12-20,2672.9583333333335
2004-12-21,2400.2916666666665
2004-12-22,2365.7083333333335
2004-12-23,2183.4166666666665
2004-12-24,2197.125
2004-12-25,2173.3333333333335
2004-12-26,2007.5
2004-12-27,2257.9166666666665
2004-12-28,2219.3333333333335
2004-12-29,1998.625
2004-12-30,1920.5
2004-12-31,1730.625
2005-01-01,1608.1666666666667
2005-01-02,1647.0
2005-01-03,1982.5416666666667
2005-01-04,2117.9583333333335
2005-01-05,2266.625
2005-01-06,2152.875
2005-01-07,2203.9583333333335
2005-01-08,1998.0
2005-01-09,1854.375
2005-01-10,2186.5416666666665
2005-01-11,2184.9583333333335
2005-01-12,2060.8333333333335
2005-01-13,2073.6666666666665
2005-01-14,2264.4583333333335
2005-01-15,2119.75
2005-01-16,2129.3333333333335
2005-01-17,2572.7083333333335
2005-01-18,2664.6666666666665
2005-01-19,2508.625
2005-01-20,2416.5
2005-01-21,2443.0833333333335
2005-01-22,2261.0833333333335
2005-01-23,2311.5833333333335
2005-01-24,2575.5416666666665
2005-01-25,2351.7083333333335
2005-01-26,2330.25
2005-01-27,2530.5
2005-01-28,2528.0833333333335
2005-01-29,2126.2916666666665
2005-01-30,1949.375
2005-01-31,2389.5416666666665
2005-02-01,2351.7083333333335
2005-02-02,2385.25
2005-02-03,2342.8333333333335
2005-02-04,2210.2916666666665
2005-02-05,1913.375
2005-02-06,1807.75
2005-02-07,2133.4583333333335
2005-02-08,2155.8333333333335
2005-02-09,2232.75
2005-02-10,2363.375
2005-02-11,2384.5833333333335
2005-02-12,1940.4166666666667
2005-02-13,1867.0
2005-02-14,2131.2916666666665
2005-02-15,2085.25
2005-02-16,2175.125
2005-02-17,2350.3333333333335
2005-02-18,2339.2916666666665
2005-02-19,2091.5833333333335
2005-02-20,1907.25
2005-02-21,2126.75
2005-02-22,2224.8333333333335
2005-02-23,2264.0833333333335
2005-02-24,2312.2916666666665
2005-02-25,2299.7083333333335
2005-02-26,1888.0
2005-02-27,1888.1666666666667
2005-02-28,2184.2083333333335
2005-03-01,2397.625
2005-03-02,2403.625
2005-03-03,2328.5416666666665
2005-03-04,2270.5833333333335
2005-03-05,1907.875
2005-03-06,1773.6666666666667
2005-03-07,2047.1666666666667
2005-03-08,2310.875
2005-03-09,2357.625
2005-03-10,2381.875
2005-03-11,2257.6666666666665
2005-03-12,2017.3333333333333
2005-03-13,1888.5
2005-03-14,2210.5833333333335
2005-03-15,2191.5833333333335
2005-03-16,2170.125
2005-03-17,2108.0416666666665
2005-03-18,2029.5833333333333
2005-03-19,1803.625
2005-03-20,1802.3333333333333
2005-03-21,2136.875
2005-03-22,2168.25
2005-03-23,2239.9166666666665
2005-03-24,2144.3333333333335
2005-03-25,1889.6666666666667
2005-03-26,1717.6666666666667
2005-03-27,1661.75
2005-03-28,2039.4583333333333
2005-03-29,2034.9583333333333
2005-03-30,1960.4583333333333
2005-03-31,1915.2083333333333
2005-04-01,1964.625
2005-04-02,1884.4583333333333
2005-04-03,1691.391304347826
2005-04-04,1962.7916666666667
2005-04-05,1933.4583333333333
2005-04-06,1936.6666666666667
2005-04-07,1943.0416666666667
