,RMSE
AEP,1827.5804367440408
COMED,1470.8672354999615
DAYTON,239.00258976625426
DEOK,387.4489654809896
DOM,1508.2025110235527
DUQ,194.20593419835535
EKPC,280.14319586793687
FE,856.689926581194
NI,1323.130019272283
PJM,4001.6948720399714
PJME,3696.386717720413
PJMW,594.5624924228921
