Datetime,COMED,Estimated_Temp_C
2011-01-02,11255.708333333334,-4.812655913978495
2011-01-03,12117.625,-4.73631182795699
2011-01-04,12499.75,-4.659967741935484
2011-01-05,12855.166666666666,-4.5836236559139785
2011-01-06,12572.25,-4.507279569892473
2011-01-07,12829.875,-4.430935483870968
2011-01-08,12068.125,-4.354591397849463
2011-01-09,11328.791666666666,-4.278247311827958
2011-01-10,12398.333333333334,-4.201903225806452
2011-01-11,12617.416666666666,-4.125559139784946
2011-01-12,12643.583333333334,-4.049215053763441
2011-01-13,12663.166666666666,-3.972870967741936
2011-01-14,12594.708333333334,-3.8965268817204306
2011-01-15,11630.166666666666,-3.820182795698925
2011-01-16,11332.375,-3.7438387096774197
2011-01-17,12418.625,-3.667494623655914
2011-01-18,12428.208333333334,-3.591150537634409
2011-01-19,12648.166666666666,-3.5148064516129036
2011-01-20,12984.25,-3.4384623655913984
2011-01-21,13534.541666666666,-3.3621182795698927
2011-01-22,12480.958333333334,-3.2857741935483875
2011-01-23,11827.041666666666,-3.209430107526882
2011-01-24,12849.0,-3.1330860215053766
2011-01-25,12577.666666666666,-3.0567419354838714
2011-01-26,12560.833333333334,-2.980397849462366
2011-01-27,12791.416666666666,-2.9040537634408605
2011-01-28,12319.583333333334,-2.8277096774193553
2011-01-29,11204.0,-2.7513655913978496
2011-01-30,10715.291666666666,-2.6750215053763444
2011-01-31,12507.375,-2.598677419354839
2011-02-01,12817.791666666666,-2.5223333333333335
2011-02-02,11313.333333333334,-2.2995833333333335
2011-02-03,12788.75,-2.0768333333333335
2011-02-04,12990.208333333334,-1.8540833333333335
2011-02-05,11727.25,-1.6313333333333335
2011-02-06,10920.166666666666,-1.4085833333333333
2011-02-07,12103.083333333334,-1.1858333333333333
2011-02-08,12867.333333333334,-0.9630833333333333
2011-02-09,13495.458333333334,-0.7403333333333333
2011-02-10,13613.333333333334,-0.5175833333333331
2011-02-11,13124.458333333334,-0.29483333333333306
2011-02-12,11267.291666666666,-0.07208333333333306
2011-02-13,10285.875,0.15066666666666695
2011-02-14,11498.708333333334,0.37341666666666695
2011-02-15,11929.708333333334,0.596166666666667
2011-02-16,11408.833333333334,0.818916666666667
2011-02-17,11189.791666666666,1.041666666666667
2011-02-18,11062.291666666666,1.264416666666667
2011-02-19,10559.666666666666,1.4871666666666674
2011-02-20,10598.291666666666,1.709916666666667
2011-02-21,11927.5,1.9326666666666674
2011-02-22,12270.333333333334,2.155416666666667
2011-02-23,12242.583333333334,2.3781666666666674
2011-02-24,11970.958333333334,2.600916666666667
2011-02-25,11812.875,2.8236666666666674
2011-02-26,11053.833333333334,3.046416666666667
2011-02-27,10376.125,3.2691666666666674
2011-02-28,11750.125,3.491916666666667
2011-03-01,11781.333333333334,3.7146666666666674
2011-03-02,11744.666666666666,3.8866559139784953
2011-03-03,11878.5,4.058645161290324
2011-03-04,11373.458333333334,4.2306344086021515
2011-03-05,10943.416666666666,4.402623655913979
2011-03-06,10414.541666666666,4.574612903225807
2011-03-07,11758.25,4.746602150537635
2011-03-08,11568.5,4.918591397849463
2011-03-09,11563.458333333334,5.090580645161291
2011-03-10,11825.666666666666,5.262569892473119
2011-03-11,11379.75,5.434559139784946
2011-03-12,10507.75,5.606548387096774
2011-03-13,10034.652173913044,5.778537634408602
2011-03-14,11264.166666666666,5.95052688172043
2011-03-15,11560.208333333334,6.122516129032258
2011-03-16,11045.125,6.294505376344086
2011-03-17,10788.333333333334,6.4664946236559135
2011-03-18,10400.375,6.638483870967741
2011-03-19,9667.208333333334,6.810473118279569
2011-03-20,9450.958333333334,6.982462365591397
2011-03-21,10428.083333333334,7.154451612903225
2011-03-22,11215.166666666666,7.326440860215054
2011-03-23,11337.833333333334,7.4984301075268815
2011-03-24,11485.083333333334,7.670419354838709
2011-03-25,11376.166666666666,7.842408602150538
2011-03-26,10622.583333333334,8.014397849462366
2011-03-27,9961.875,8.186387096774194
2011-03-28,11265.916666666666,8.358376344086022
2011-03-29,11226.0,8.53036559139785
2011-03-30,11035.375,8.702354838709677
2011-03-31,10947.5,8.874344086021505
2011-04-01,11021.875,9.046333333333333
2011-04-02,9727.833333333334,9.231688888888888
2011-04-03,9226.583333333334,9.417044444444445
2011-04-04,10447.375,9.6024
2011-04-05,10749.375,9.787755555555556
2011-04-06,10655.666666666666,9.97311111111111
2011-04-07,10777.5,10.158466666666666
2011-04-08,10877.458333333334,10.343822222222222
2011-04-09,9520.333333333334,10.529177777777777
2011-04-10,9311.333333333334,10.714533333333334
2011-04-11,10326.916666666666,10.899888888888889
2011-04-12,10276.708333333334,11.085244444444445
2011-04-13,10402.125,11.2706
2011-04-14,10384.791666666666,11.455955555555555
2011-04-15,10767.0,11.641311111111111
2011-04-16,9807.833333333334,11.826666666666666
2011-04-17,9200.041666666666,12.012022222222221
2011-04-18,10789.375,12.197377777777778
2011-04-19,11495.75,12.382733333333332
2011-04-20,11219.458333333334,12.568088888888889
2011-04-21,10716.0,12.753444444444444
2011-04-22,10319.666666666666,12.9388
2011-04-23,9000.25,13.124155555555555
2011-04-24,8317.958333333334,13.30951111111111
2011-04-25,10191.125,13.494866666666667
2011-04-26,10592.416666666666,13.680222222222222
2011-04-27,10475.583333333334,13.865577777777776
2011-04-28,10648.708333333334,14.050933333333333
2011-04-29,10356.0,14.23628888888889
2011-04-30,9287.416666666666,14.421644444444444
2011-05-01,8618.583333333334,14.607
2011-05-02,10009.0,14.811327956989247
2011-05-03,10468.458333333334,15.015655913978494
2011-05-04,10443.791666666666,15.219983870967742
