Datetime,DUQ,Estimated_Temp_C
2005-01-02,1373.25,-1.951322580645161
2005-01-03,1582.9583333333333,-1.9006451612903223
2005-01-04,1610.75,-1.8499677419354836
2005-01-05,1711.0,-1.799290322580645
2005-01-06,1673.9583333333333,-1.7486129032258062
2005-01-07,1705.875,-1.6979354838709675
2005-01-08,1585.4166666666667,-1.6472580645161288
2005-01-09,1507.2083333333333,-1.59658064516129
2005-01-10,1678.125,-1.5459032258064513
2005-01-11,1715.625,-1.4952258064516126
2005-01-12,1635.125,-1.444548387096774
2005-01-13,1594.9166666666667,-1.3938709677419354
2005-01-14,1655.8333333333333,-1.3431935483870967
2005-01-15,1592.9166666666667,-1.292516129032258
2005-01-16,1566.1666666666667,-1.2418387096774193
2005-01-17,1781.4583333333333,-1.1911612903225806
2005-01-18,1886.9166666666667,-1.1404838709677418
2005-01-19,1839.5416666666667,-1.0898064516129031
2005-01-20,1808.625,-1.0391290322580644
2005-01-21,1825.6666666666667,-0.9884516129032257
2005-01-22,1728.8333333333333,-0.937774193548387
2005-01-23,1711.4583333333333,-0.8870967741935483
2005-01-24,1905.0,-0.8364193548387096
2005-01-25,1825.0833333333333,-0.7857419354838711
2005-01-26,1762.6666666666667,-0.7350645161290323
2005-01-27,1858.7083333333333,-0.6843870967741936
2005-01-28,1824.125,-0.6337096774193549
2005-01-29,1670.125,-0.5830322580645162
2005-01-30,1531.0416666666667,-0.5323548387096775
2005-01-31,1747.125,-0.48167741935483877
2005-02-01,1752.4583333333333,-0.4310000000000001
2005-02-02,1740.6666666666667,-0.37832142857142864
2005-02-03,1735.8333333333333,-0.32564285714285723
2005-02-04,1646.1666666666667,-0.27296428571428577
2005-02-05,1524.4166666666667,-0.2202857142857143
2005-02-06,1482.8333333333333,-0.16760714285714284
2005-02-07,1625.0416666666667,-0.11492857142857144
2005-02-08,1657.9583333333333,-0.06224999999999997
2005-02-09,1657.8333333333333,-0.009571428571428509
2005-02-10,1751.5416666666667,0.043107142857142955
2005-02-11,1764.2083333333333,0.09578571428571442
2005-02-12,1576.1666666666667,0.14846428571428588
2005-02-13,1514.0416666666667,0.20114285714285723
2005-02-14,1672.5833333333333,0.2538214285714287
2005-02-15,1607.7916666666667,0.30650000000000016
2005-02-16,1632.125,0.3591785714285716
2005-02-17,1732.3333333333333,0.4118571428571431
2005-02-18,1791.6666666666667,0.46453571428571455
2005-02-19,1628.625,0.5172142857142861
2005-02-20,1552.625,0.5698928571428574
2005-02-21,1625.9166666666667,0.622571428571429
2005-02-22,1657.0416666666667,0.6752500000000003
2005-02-23,1704.7916666666667,0.7279285714285719
2005-02-24,1758.0833333333333,0.7806071428571433
2005-02-25,1722.0,0.8332857142857146
2005-02-26,1572.5416666666667,0.8859642857142862
2005-02-27,1566.875,0.9386428571428576
2005-02-28,1732.375,0.9913214285714291
2005-03-01,1749.75,1.0440000000000005
2005-03-02,1803.2083333333333,1.3487741935483877
2005-03-03,1791.0,1.6535483870967747
2005-03-04,1724.7083333333333,1.9583225806451616
2005-03-05,1534.6666666666667,2.263096774193549
2005-03-06,1484.9166666666667,2.567870967741936
2005-03-07,1606.25,2.8726451612903228
2005-03-08,1760.7083333333333,3.17741935483871
2005-03-09,1830.75,3.482193548387097
2005-03-10,1790.7916666666667,3.7869677419354844
2005-03-11,1722.7916666666667,4.0917419354838716
2005-03-12,1605.4166666666667,4.396516129032259
2005-03-13,1557.25,4.701290322580645
2005-03-14,1729.2083333333333,5.006064516129033
2005-03-15,1693.9583333333333,5.3108387096774194
2005-03-16,1697.0,5.615612903225807
2005-03-17,1668.375,5.920387096774194
2005-03-18,1623.2083333333333,6.225161290322581
2005-03-19,1473.2083333333333,6.529935483870968
2005-03-20,1468.0833333333333,6.834709677419355
2005-03-21,1673.9583333333333,7.139483870967743
2005-03-22,1676.875,7.444258064516129
2005-03-23,1670.7083333333333,7.749032258064516
2005-03-24,1682.5833333333333,8.053806451612903
2005-03-25,1574.5416666666667,8.35858064516129
2005-03-26,1482.9583333333333,8.663354838709678
2005-03-27,1377.5,8.968129032258066
2005-03-28,1572.4583333333333,9.272903225806452
2005-03-29,1563.375,9.577677419354838
2005-03-30,1537.0416666666667,9.882451612903226
2005-03-31,1504.5416666666667,10.187225806451613
2005-04-01,1440.0416666666667,10.492
2005-04-02,1390.3333333333333,10.586633333333333
2005-04-03,1435.1304347826087,10.681266666666668
2005-04-04,1537.4583333333333,10.7759
2005-04-05,1482.4583333333333,10.870533333333334
2005-04-06,1502.2083333333333,10.965166666666667
2005-04-07,1493.875,11.059800000000001
2005-04-08,1441.8333333333333,11.154433333333333
2005-04-09,1300.2083333333333,11.249066666666668
2005-04-10,1258.5416666666667,11.3437
2005-04-11,1471.4583333333333,11.438333333333334
2005-04-12,1457.4583333333333,11.532966666666667
2005-04-13,1474.8333333333333,11.627600000000001
2005-04-14,1461.5416666666667,11.722233333333334
2005-04-15,1426.3333333333333,11.816866666666666
2005-04-16,1306.8333333333333,11.9115
2005-04-17,1284.375,12.006133333333334
2005-04-18,1492.875,12.100766666666667
2005-04-19,1513.5416666666667,12.1954
2005-04-20,1523.9583333333333,12.290033333333334
2005-04-21,1466.4166666666667,12.384666666666666
2005-04-22,1441.875,12.4793
2005-04-23,1354.0416666666667,12.573933333333333
2005-04-24,1399.7083333333333,12.668566666666667
2005-04-25,1546.5,12.7632
2005-04-26,1521.7916666666667,12.857833333333334
2005-04-27,1517.125,12.952466666666666
2005-04-28,1482.25,13.0471
2005-04-29,1503.375,13.141733333333333
