Datetime,DEOK,Estimated_Temp_C
2012-01-02,3179.875,2.434806451612903
2012-01-03,3503.375,2.4871129032258064
2012-01-04,3470.5416666666665,2.5394193548387096
2012-01-05,3210.125,2.591725806451613
2012-01-06,2978.4166666666665,2.6440322580645157
2012-01-07,2701.083333333333,2.696338709677419
2012-01-08,2766.9166666666665,2.748645161290322
2012-01-09,3010.6666666666665,2.8009516129032255
2012-01-10,3039.1666666666665,2.8532580645161287
2012-01-11,3070.1666666666665,2.905564516129032
2012-01-12,3165.25,2.9578709677419353
2012-01-13,3756.8333333333335,3.0101774193548385
2012-01-14,3318.708333333333,3.0624838709677418
2012-01-15,3155.083333333333,3.114790322580645
2012-01-16,3249.75,3.1670967741935483
2012-01-17,2995.0,3.2194032258064516
2012-01-18,3321.5416666666665,3.271709677419355
2012-01-19,3447.708333333333,3.3240161290322576
2012-01-20,3622.5416666666665,3.376322580645161
2012-01-21,3400.958333333333,3.428629032258064
2012-01-22,3171.375,3.4809354838709674
2012-01-23,3031.5416666666665,3.5332419354838707
2012-01-24,3253.25,3.585548387096774
2012-01-25,3349.125,3.637854838709677
2012-01-26,3206.0,3.69016129032258
2012-01-27,3193.125,3.7424677419354833
2012-01-28,2959.5,3.7947741935483865
2012-01-29,2986.9166666666665,3.84708064516129
2012-01-30,3175.833333333333,3.899387096774193
2012-01-31,2938.9166666666665,3.9516935483870963
2012-02-01,2830.75,4.004
2012-02-02,2866.5,4.344413793103448
2012-02-03,2982.5416666666665,4.684827586206897
2012-02-04,2834.2916666666665,5.025241379310344
2012-02-05,2721.458333333333,5.365655172413793
2012-02-06,3091.75,5.706068965517241
2012-02-07,3216.5,6.046482758620689
2012-02-08,3271.4166666666665,6.386896551724138
2012-02-09,3292.4166666666665,6.727310344827586
2012-02-10,3299.458333333333,7.067724137931035
2012-02-11,3331.4166666666665,7.408137931034483
2012-02-12,3251.208333333333,7.748551724137931
2012-02-13,3401.958333333333,8.08896551724138
2012-02-14,3313.708333333333,8.429379310344828
2012-02-15,3117.9166666666665,8.769793103448276
2012-02-16,3045.9166666666665,9.110206896551723
2012-02-17,3002.0416666666665,9.450620689655173
2012-02-18,2829.7916666666665,9.791034482758622
2012-02-19,2935.5416666666665,10.13144827586207
2012-02-20,3199.583333333333,10.471862068965518
2012-02-21,3102.1666666666665,10.812275862068965
2012-02-22,2930.5416666666665,11.152689655172415
2012-02-23,2936.458333333333,11.493103448275862
2012-02-24,3035.125,11.833517241379312
2012-02-25,3050.625,12.17393103448276
2012-02-26,2910.458333333333,12.514344827586207
2012-02-27,2930.458333333333,12.854758620689656
2012-02-28,2966.583333333333,13.195172413793104
2012-02-29,2820.208333333333,13.535586206896552
2012-03-01,2837.5416666666665,13.876000000000001
2012-03-02,2914.5416666666665,13.851129032258065
2012-03-03,2800.0416666666665,13.82625806451613
2012-03-04,2909.458333333333,13.801387096774194
2012-03-05,3213.125,13.77651612903226
2012-03-06,3085.7916666666665,13.751645161290323
2012-03-07,2797.875,13.726774193548389
2012-03-08,2818.25,13.701903225806452
2012-03-09,2916.833333333333,13.677032258064518
2012-03-10,2736.208333333333,13.652161290322582
2012-03-11,2560.6521739130435,13.627290322580647
2012-03-12,2730.833333333333,13.60241935483871
2012-03-13,2706.5416666666665,13.577548387096774
2012-03-14,2718.2916666666665,13.55267741935484
2012-03-15,2775.5,13.527806451612904
2012-03-16,2686.458333333333,13.502935483870969
2012-03-17,2477.0,13.478064516129033
2012-03-18,2445.25,13.453193548387098
2012-03-19,2878.375,13.428322580645162
2012-03-20,2978.25,13.403451612903227
2012-03-21,3069.0,13.378580645161291
2012-03-22,3075.25,13.353709677419356
2012-03-23,2808.375,13.32883870967742
2012-03-24,2385.583333333333,13.303967741935484
2012-03-25,2299.625,13.27909677419355
2012-03-26,2593.6666666666665,13.254225806451613
2012-03-27,2709.25,13.229354838709678
2012-03-28,2714.208333333333,13.204483870967742
2012-03-29,2656.9166666666665,13.179612903225808
2012-03-30,2676.125,13.154741935483871
2012-03-31,2408.25,13.129870967741937
2012-04-01,2404.0416666666665,13.105
2012-04-02,2611.458333333333,13.368283333333334
2012-04-03,2748.875,13.631566666666668
2012-04-04,2744.708333333333,13.89485
2012-04-05,2587.5,14.158133333333334
2012-04-06,2517.0,14.421416666666667
2012-04-07,2366.9166666666665,14.684700000000001
2012-04-08,2200.2916666666665,14.947983333333335
2012-04-09,2556.2916666666665,15.211266666666667
2012-04-10,2657.625,15.47455
2012-04-11,2815.7916666666665,15.737833333333334
2012-04-12,2788.083333333333,16.001116666666668
2012-04-13,2689.125,16.264400000000002
2012-04-14,2473.9166666666665,16.527683333333336
2012-04-15,2421.875,16.79096666666667
2012-04-16,2778.7916666666665,17.054250000000003
2012-04-17,2645.083333333333,17.317533333333337
2012-04-18,2678.7916666666665,17.58081666666667
2012-04-19,2722.125,17.8441
2012-04-20,2666.875,18.107383333333335
2012-04-21,2409.083333333333,18.37066666666667
2012-04-22,2448.875,18.633950000000002
2012-04-23,2707.4166666666665,18.897233333333336
2012-04-24,2709.5416666666665,19.16051666666667
2012-04-25,2710.2916666666665,19.423800000000004
2012-04-26,2713.375,19.687083333333337
2012-04-27,2621.1666666666665,19.950366666666667
2012-04-28,2510.2916666666665,20.21365
2012-04-29,2416.083333333333,20.476933333333335
2012-04-30,2820.4166666666665,20.74021666666667
2012-05-01,2893.75,21.003500000000003
2012-05-02,3180.4166666666665,21.062983870967745
2012-05-03,3416.4166666666665,21.122467741935488
2012-05-04,3211.375,21.181951612903227
