Datetime,DOM,Estimated_Temp_C
2005-05-01,7812.347826086957,17.118333333333332
2005-05-02,8608.083333333334,18.630132222222223
2005-05-03,8665.0,18.76964429535627
2005-05-04,8628.791666666666,18.90915636849032
2005-05-05,8702.541666666666,19.048668441624365
2005-05-06,9008.541666666666,19.18818051475841
2005-05-07,8302.125,19.32769258789246
2005-05-08,7772.0,19.46720466102651
2005-05-09,8798.5,19.60671673416056
2005-05-10,8928.25,19.746228807294603
2005-05-11,9462.583333333334,19.885740880428653
2005-05-12,9744.166666666666,20.0252529535627
2005-05-13,8482.375,20.16476502669675
2005-05-14,8625.208333333334,20.304277099830795
2005-05-15,8615.041666666666,20.443789172964845
2005-05-16,8917.291666666666,20.58330124609889
2005-05-17,8766.0,20.72281331923294
2005-05-18,8937.208333333334,20.862325392366987
2005-05-19,8767.458333333334,21.001837465501037
2005-05-20,8664.5,21.141349538635083
2005-05-21,7983.041666666667,21.28086161176913
2005-05-22,8002.958333333333,21.42037368490318
2005-05-23,9029.375,21.559885758037225
2005-05-24,8655.666666666666,21.699397831171275
2005-05-25,8683.083333333334,21.83890990430532
2005-05-26,8932.666666666666,21.978421977439368
2005-05-27,9264.5,22.117934050573417
2005-05-28,8419.458333333334,22.257446123707464
2005-05-29,8070.208333333333,22.396958196841517
2005-05-30,8400.166666666666,22.53647026997556
2005-05-31,9445.875,22.67598234310961
2005-06-01,9238.708333333334,22.70833333333333
2005-06-02,8837.125,22.619750264550262
2005-06-03,8998.291666666666,22.69462077501499
2005-06-04,8890.916666666666,22.76949128547971
2005-06-05,10258.875,22.844361795944437
2005-06-06,12435.333333333334,22.919232306409157
2005-06-07,12342.625,22.99410281687388
2005-06-08,12617.0,23.0689733273386
2005-06-09,12723.416666666666,23.14384383780332
2005-06-10,12583.125,23.218714348268044
2005-06-11,12078.458333333334,23.293584858732768
2005-06-12,11782.125,23.368455369197488
2005-06-13,13407.458333333334,23.44332587966221
2005-06-14,14056.791666666666,23.51819639012693
2005-06-15,13772.458333333334,23.59306690059165
2005-06-16,12423.208333333334,23.66793741105638
2005-06-17,10971.75,23.7428079215211
2005-06-18,9756.333333333334,23.817678431985826
2005-06-19,10085.583333333334,23.892548942450546
2005-06-20,9717.041666666666,23.967419452915266
2005-06-21,10234.375,24.04228996337999
2005-06-22,11062.416666666666,24.11716047384471
2005-06-23,11166.875,24.192030984309437
2005-06-24,11446.958333333334,24.26690149477416
2005-06-25,11231.375,24.34177200523888
2005-06-26,10850.166666666666,24.4166425157036
2005-06-27,12595.375,24.49151302616832
2005-06-28,13182.041666666666,24.566383536633044
2005-06-29,11980.916666666666,24.641254047097767
2005-06-30,12438.666666666666,24.716124557562487
2005-07-01,13236.625,25.842
2005-07-02,11895.5,24.653929032258063
2005-07-03,10694.625,24.63600297381318
2005-07-04,10951.25,24.61807691536829
2005-07-05,11914.625,24.600150856923413
2005-07-06,12688.958333333334,24.582224798478528
2005-07-07,11921.333333333334,24.56429874003365
2005-07-08,11537.375,24.546372681588764
2005-07-09,11363.791666666666,24.52844662314388
2005-07-10,11676.833333333334,24.510520564699
2005-07-11,12765.708333333334,24.49259450625411
2005-07-12,13517.416666666666,24.47466844780923
2005-07-13,13081.666666666666,24.456742389364347
2005-07-14,12500.666666666666,24.43881633091946
2005-07-15,12580.0,24.42089027247458
2005-07-16,12735.125,24.40296421402969
2005-07-17,12626.666666666666,24.38503815558481
2005-07-18,13942.375,24.36711209713993
2005-07-19,14238.708333333334,24.349186038695045
2005-07-20,13946.875,24.331259980250163
2005-07-21,13854.833333333334,24.31333392180528
2005-07-22,13753.708333333334,24.2954078633604
2005-07-23,12834.625,24.277481804915517
2005-07-24,11559.041666666666,24.259555746470628
2005-07-25,13401.625,24.241629688025743
2005-07-26,14877.083333333334,24.22370362958086
2005-07-27,15435.75,24.20577757113598
2005-07-28,13024.041666666666,24.187851512691097
2005-07-29,11671.583333333334,24.16992545424621
2005-07-30,11257.125,24.15199939580133
2005-07-31,10797.833333333334,24.134073337356444
2005-08-01,12341.208333333334,25.337166666666665
2005-08-02,13129.625,23.96680967741936
2005-08-03,13904.666666666666,23.865334397139897
2005-08-04,14084.583333333334,23.763859116860434
2005-08-05,14076.333333333334,23.66238383658097
2005-08-06,12977.041666666666,23.560908556301516
2005-08-07,12204.583333333334,23.45943327602205
2005-08-08,12751.416666666666,23.35795799574259
2005-08-09,11740.0,23.25648271546313
2005-08-10,12574.833333333334,23.15500743518367
2005-08-11,13641.583333333334,23.05353215490421
2005-08-12,14286.916666666666,22.95205687462475
2005-08-13,14106.291666666666,22.85058159434529
2005-08-14,13966.041666666666,22.749106314065827
2005-08-15,14385.583333333334,22.647631033786368
2005-08-16,13186.625,22.546155753506905
2005-08-17,12390.333333333334,22.444680473227443
2005-08-18,12113.625,22.343205192947984
2005-08-19,11705.75,22.241729912668525
2005-08-20,12733.5,22.140254632389063
2005-08-21,13517.541666666666,22.0387793521096
2005-08-22,13124.833333333334,21.93730407183014
2005-08-23,11622.333333333334,21.83582879155068
2005-08-24,11720.375,21.73435351127122
2005-08-25,11205.375,21.63287823099176
2005-08-26,10524.25,21.531402950712295
2005-08-27,9940.5,21.42992767043284
2005-08-28,11356.708333333334,21.328452390153377
2005-08-29,12784.291666666666,21.226977109873918
2005-08-30,13251.75,21.12550182959445
2005-08-31,13795.5,21.024026549315
2005-09-01,12172.666666666666,22.688
2005-09-02,12044.458333333334,20.51358941798942
2005-09-03,10861.75,20.324094469004816
2005-09-04,9912.333333333334,20.13459952002021
