Datetime,NI,Estimated_Temp_C
2004-05-01,9090.652173913044,18.095
2004-05-02,8441.75,15.92729283697187
2004-05-03,10133.75,16.099021157814708
2004-05-04,10314.708333333334,16.270749478657542
2004-05-05,10155.958333333334,16.44247779950038
2004-05-06,10827.416666666666,16.614206120343216
2004-05-07,10143.333333333334,16.785934441186054
2004-05-08,9185.0,16.957662762028892
2004-05-09,9112.125,17.129391082871727
2004-05-10,11551.5,17.301119403714566
2004-05-11,11345.041666666666,17.4728477245574
2004-05-12,12268.291666666666,17.64457604540024
2004-05-13,12105.791666666666,17.816304366243074
2004-05-14,10874.583333333334,17.988032687085912
2004-05-15,8990.791666666666,18.15976100792875
2004-05-16,8428.708333333334,18.331489328771585
2004-05-17,10995.791666666666,18.503217649614424
2004-05-18,10813.458333333334,18.67494597045726
2004-05-19,10552.041666666666,18.846674291300097
2004-05-20,12494.916666666666,19.018402612142932
2004-05-21,11385.083333333334,19.19013093298577
2004-05-22,10307.083333333334,19.36185925382861
2004-05-23,9532.5,19.533587574671444
2004-05-24,10552.625,19.70531589551428
2004-05-25,10647.333333333334,19.87704421635712
2004-05-26,10465.75,20.048772537199955
2004-05-27,10874.041666666666,20.220500858042797
2004-05-28,10148.083333333334,20.39222917888563
2004-05-29,8800.291666666666,20.563957499728467
2004-05-30,8723.375,20.735685820571305
2004-05-31,8557.916666666666,20.90741414141414
2004-06-01,10415.333333333334,20.508000000000003
2004-06-02,10577.0,20.9081841195519
2004-06-03,10483.833333333334,20.9872119891038
2004-06-04,10505.75,21.0662398586557
2004-06-05,9543.0,21.1452677282076
2004-06-06,9841.5,21.224295597759497
2004-06-07,13464.333333333334,21.3033234673114
2004-06-08,15766.416666666666,21.38235133686329
2004-06-09,15518.458333333334,21.461379206415195
2004-06-10,12213.416666666666,21.54040707596709
2004-06-11,12701.833333333334,21.619434945518996
2004-06-12,11738.5,21.69846281507089
2004-06-13,11352.25,21.77749068462279
2004-06-14,13481.25,21.85651855417469
2004-06-15,13100.208333333334,21.93554642372659
2004-06-16,13237.416666666666,22.01457429327849
2004-06-17,13857.291666666666,22.093602162830383
2004-06-18,12524.291666666666,22.172630032382287
2004-06-19,9604.416666666666,22.251657901934188
2004-06-20,8716.833333333334,22.330685771486085
2004-06-21,10827.375,22.409713641037985
2004-06-22,11084.125,22.48874151058988
2004-06-23,11586.125,22.567769380141783
2004-06-24,10964.541666666666,22.646797249693684
2004-06-25,10520.625,22.72582511924558
2004-06-26,9673.541666666666,22.80485298879748
2004-06-27,9310.708333333334,22.88388085834938
2004-06-28,11193.125,22.96290872790128
2004-06-29,11795.208333333334,23.041936597453176
2004-06-30,12784.458333333334,23.12096446700508
2004-07-01,13581.5,22.329
2004-07-02,13124.166666666666,23.01275032095184
2004-07-03,11487.791666666666,22.97477048317353
2004-07-04,10809.875,22.936790645395213
2004-07-05,10581.125,22.898810807616897
2004-07-06,12571.791666666666,22.860830969838585
2004-07-07,11616.666666666666,22.82285113206027
2004-07-08,11318.458333333334,22.784871294281952
2004-07-09,11443.708333333334,22.74689145650364
2004-07-10,11281.125,22.708911618725324
2004-07-11,11749.375,22.670931780947008
2004-07-12,14768.125,22.632951943168692
2004-07-13,14988.125,22.59497210539038
2004-07-14,13555.916666666666,22.556992267612063
2004-07-15,13334.291666666666,22.51901242983375
2004-07-16,13638.041666666666,22.481032592055435
2004-07-17,11228.083333333334,22.44305275427712
2004-07-18,10522.666666666666,22.405072916498806
2004-07-19,12948.291666666666,22.36709307872049
2004-07-20,15200.916666666666,22.32911324094217
2004-07-21,15684.666666666666,22.29113340316386
2004-07-22,15312.375,22.253153565385546
2004-07-23,12138.041666666666,22.21517372760723
2004-07-24,9824.75,22.17719388982892
2004-07-25,9345.25,22.1392140520506
2004-07-26,11148.333333333334,22.101234214272285
2004-07-27,11816.916666666666,22.063254376493973
2004-07-28,12741.25,22.025274538715657
2004-07-29,13197.291666666666,21.98729470093734
2004-07-30,12411.208333333334,21.949314863159028
2004-07-31,11406.0,21.911335025380712
2004-08-01,11853.916666666666,20.303
2004-08-02,15285.958333333334,21.65400103958948
2004-08-03,15729.125,21.519970333147217
2004-08-04,12901.708333333334,21.385939626704957
2004-08-05,11496.541666666666,21.25190892026269
2004-08-06,11248.708333333334,21.117878213820426
2004-08-07,10140.125,20.98384750737816
2004-08-08,10076.083333333334,20.849816800935898
2004-08-09,12957.416666666666,20.71578609449363
2004-08-10,11544.25,20.581755388051366
2004-08-11,10585.083333333334,20.447724681609103
2004-08-12,10369.541666666666,20.31369397516684
2004-08-13,10507.666666666666,20.17966326872457
2004-08-14,9432.958333333334,20.04563256228231
2004-08-15,8953.083333333334,19.911601855840047
2004-08-16,11047.666666666666,19.777571149397783
2004-08-17,12203.25,19.64354044295552
2004-08-18,12487.375,19.50950973651325
2004-08-19,11618.125,19.37547903007099
2004-08-20,11115.208333333334,19.241448323628727
2004-08-21,10003.166666666666,19.107417617186464
2004-08-22,9577.833333333334,18.9733869107442
2004-08-23,12800.875,18.839356204301936
2004-08-24,12857.25,18.70532549785967
2004-08-25,12714.75,18.571294791417404
2004-08-26,13478.0,18.43726408497514
2004-08-27,14831.791666666666,18.30323337853288
2004-08-28,11532.708333333334,18.169202672090613
2004-08-29,9146.625,18.03517196564835
2004-08-30,11141.541666666666,17.901141259206085
2004-08-31,12167.583333333334,17.76711055276382
2004-09-01,12507.708333333334,19.615
2004-09-02,13620.0,17.170077508014703
2004-09-03,13641.666666666666,16.946075650950036
2004-09-04,12232.208333333334,16.72207379388537
