Datetime,PJME,Estimated_Temp_C
2002-01-01,31080.739130434784,2.4275
2002-01-02,34261.541666666664,-1.7862626408768183
2002-01-03,34511.875,-1.7483142551376676
2002-01-04,33715.458333333336,-1.7103658693985166
2002-01-05,30405.125,-1.6724174836593655
2002-01-06,30323.58333333333,-1.6344690979202148
2002-01-07,33333.833333333336,-1.5965207121810638
2002-01-08,34362.916666666664,-1.558572326441913
2002-01-09,33776.166666666664,-1.520623940702762
2002-01-10,31471.541666666668,-1.482675554963611
2002-01-11,30947.541666666668,-1.44472716922446
2002-01-12,28466.875,-1.406778783485309
2002-01-13,28052.83333333333,-1.368830397746158
2002-01-14,31602.95833333333,-1.330882012007007
2002-01-15,31223.791666666668,-1.292933626267856
2002-01-16,32009.75,-1.2549852405287052
2002-01-17,31881.291666666668,-1.2170368547895545
2002-01-18,32043.125,-1.179088469050403
2002-01-19,31926.33333333333,-1.1411400833112524
2002-01-20,29482.916666666668,-1.1031916975721014
2002-01-21,32434.916666666668,-1.0652433118329503
2002-01-22,31539.625,-1.0272949260937994
2002-01-23,31494.33333333333,-0.9893465403546484
2002-01-24,30615.75,-0.9513981546154976
2002-01-25,30183.83333333333,-0.9134497688763468
2002-01-26,28076.666666666668,-0.8755013831371957
2002-01-27,26645.58333333333,-0.8375529973980448
2002-01-28,29487.83333333333,-0.7996046116588937
2002-01-29,29028.20833333333,-0.7616562259197428
2002-01-30,28574.83333333333,-0.7237078401805919
2002-01-31,30375.83333333333,-0.6857594544414409
2002-02-01,29662.875,3.155
2002-02-02,28647.08333333333,-0.4787183519629226
2002-02-03,28598.75,-0.3096256352235551
2002-02-04,32563.666666666668,-0.1405329184841875
2002-02-05,34954.208333333336,0.0285597982551798
2002-02-06,32970.041666666664,0.1976525149945472
2002-02-07,32225.08333333333,0.3667452317339149
2002-02-08,30829.666666666668,0.5358379484732824
2002-02-09,27723.416666666668,0.7049306652126498
2002-02-10,26787.541666666668,0.8740233819520172
2002-02-11,30866.5,1.0431160986913848
2002-02-12,32908.625,1.2122088154307522
2002-02-13,31965.166666666668,1.38130153217012
2002-02-14,33175.625,1.5503942489094875
2002-02-15,31664.70833333333,1.719486965648855
2002-02-16,26852.08333333333,1.8885796823882224
2002-02-17,26883.25,2.05767239912759
2002-02-18,30929.125,2.226765115866957
2002-02-19,31155.83333333333,2.3958578326063247
2002-02-20,29674.166666666668,2.564950549345692
2002-02-21,28554.125,2.7340432660850595
2002-02-22,29054.625,2.9031359828244274
2002-02-23,27607.08333333333,3.072228699563795
2002-02-24,27033.95833333333,3.2413214163031623
2002-02-25,29920.041666666668,3.41041413304253
2002-02-26,29319.416666666668,3.5795068497818976
2002-02-27,31410.875,3.748599566521265
2002-02-28,32759.125,3.917692283260633
2002-03-01,31536.95833333333,5.935499999999999
2002-03-02,28492.33333333333,3.3718629032258063
2002-03-03,25644.33333333333,3.5932689882697946
2002-03-04,32252.166666666668,3.814675073313783
2002-03-05,34056.291666666664,4.036081158357771
2002-03-06,31165.125,4.257487243401759
2002-03-07,29271.83333333333,4.478893328445748
2002-03-08,28361.75,4.700299413489736
2002-03-09,25220.70833333333,4.921705498533724
2002-03-10,25758.5,5.143111583577713
2002-03-11,31188.416666666668,5.364517668621701
2002-03-12,30832.25,5.585923753665689
2002-03-13,30312.041666666668,5.807329838709677
2002-03-14,28774.70833333333,6.028735923753666
2002-03-15,27749.45833333333,6.250142008797655
2002-03-16,24863.166666666668,6.471548093841642
2002-03-17,26989.416666666668,6.69295417888563
2002-03-18,30982.95833333333,6.914360263929619
2002-03-19,29976.08333333333,7.135766348973608
2002-03-20,30941.5,7.3571724340175955
2002-03-21,29635.0,7.578578519061584
2002-03-22,32752.70833333333,7.799984604105572
2002-03-23,29010.25,8.021390689149559
2002-03-24,26193.916666666668,8.242796774193549
2002-03-25,29443.166666666668,8.464202859237538
2002-03-26,30842.625,8.685608944281526
2002-03-27,29756.875,8.907015029325514
2002-03-28,29495.70833333333,9.128421114369502
2002-03-29,26531.625,9.34982719941349
2002-03-30,24101.33333333333,9.571233284457476
2002-03-31,22999.75,9.792639369501464
2002-04-01,27520.58333333333,12.4165
2002-04-02,28650.541666666668,9.728814516129033
2002-04-03,28393.70833333333,9.943560180245624
2002-04-04,29335.041666666668,10.158305844362216
2002-04-05,29942.625,10.37305150847881
2002-04-06,27764.375,10.5877971725954
2002-04-07,26478.304347826088,10.802542836711991
2002-04-08,28891.125,11.017288500828585
2002-04-09,28389.08333333333,11.232034164945178
2002-04-10,27737.95833333333,11.44677982906177
2002-04-11,28010.20833333333,11.66152549317836
2002-04-12,28046.95833333333,11.876271157294951
2002-04-13,25014.291666666668,12.091016821411548
2002-04-14,24187.75,12.305762485528138
2002-04-15,29472.375,12.52050814964473
2002-04-16,33161.583333333336,12.735253813761322
2002-04-17,36213.75,12.949999477877912
2002-04-18,36385.54166666666,13.164745141994509
2002-04-19,33778.833333333336,13.379490806111098
2002-04-20,27228.08333333333,13.59423647022769
2002-04-21,24151.25,13.808982134344284
2002-04-22,28221.75,14.023727798460875
2002-04-23,28559.625,14.238473462577469
2002-04-24,28575.916666666668,14.45321912669406
2002-04-25,28838.875,14.66796479081065
2002-04-26,27996.166666666668,14.882710454927242
2002-04-27,24719.08333333333,15.097456119043835
2002-04-28,24306.791666666668,15.312201783160427
2002-04-29,27705.916666666668,15.52694744727702
2002-04-30,28278.166666666668,15.741693111393612
2002-05-01,27887.20833333333,15.5635
2002-05-02,28834.33333333333,16.02691666666667
2002-05-03,27523.83333333333,16.192317244782856
