Datetime,FE,Estimated_Temp_C
2011-06-02,7742.416666666667,21.732026666666666
2011-06-03,7366.166666666667,21.851053333333333
2011-06-04,7529.125,21.97008
2011-06-05,7846.291666666667,22.089106666666666
2011-06-06,8789.25,22.208133333333333
2011-06-07,9293.458333333334,22.32716
2011-06-08,10349.0,22.446186666666666
2011-06-09,9844.125,22.565213333333332
2011-06-10,8051.25,22.68424
2011-06-11,7522.25,22.803266666666666
2011-06-12,6429.041666666667,22.922293333333332
2011-06-13,7262.291666666667,23.04132
2011-06-14,7271.333333333333,23.160346666666666
2011-06-15,7398.833333333333,23.279373333333332
2011-06-16,7706.0,23.398400000000002
2011-06-17,7986.416666666667,23.51742666666667
2011-06-18,7537.958333333333,23.636453333333336
2011-06-19,7018.041666666667,23.755480000000002
2011-06-20,8196.291666666666,23.87450666666667
2011-06-21,9222.666666666666,23.993533333333335
2011-06-22,9157.458333333334,24.112560000000002
2011-06-23,8345.541666666666,24.23158666666667
2011-06-24,7537.625,24.350613333333335
2011-06-25,6509.083333333333,24.469640000000002
2011-06-26,6477.125,24.58866666666667
2011-06-27,7966.666666666667,24.707693333333335
2011-06-28,8757.291666666666,24.82672
2011-06-29,8055.333333333333,24.94574666666667
2011-06-30,8192.0,25.064773333333335
2011-07-01,8473.875,25.1838
2011-07-02,8068.5,25.100864516129032
2011-07-03,7721.041666666667,25.017929032258067
2011-07-04,7443.583333333333,24.934993548387098
2011-07-05,8488.083333333334,24.85205806451613
2011-07-06,9389.916666666666,24.769122580645163
2011-07-07,9189.583333333334,24.686187096774194
2011-07-08,8525.208333333334,24.60325161290323
2011-07-09,7980.291666666667,24.52031612903226
2011-07-10,8338.875,24.43738064516129
2011-07-11,9433.791666666666,24.354445161290325
2011-07-12,9831.458333333334,24.271509677419356
2011-07-13,8979.958333333334,24.188574193548387
2011-07-14,8448.25,24.10563870967742
2011-07-15,8587.666666666666,24.022703225806453
2011-07-16,8552.541666666666,23.939767741935484
2011-07-17,8753.291666666666,23.856832258064518
2011-07-18,10184.958333333334,23.77389677419355
2011-07-19,10335.125,23.69096129032258
2011-07-20,10875.666666666666,23.608025806451614
2011-07-21,11753.416666666666,23.525090322580645
2011-07-22,11058.041666666666,23.442154838709676
2011-07-23,9217.791666666666,23.35921935483871
2011-07-24,8863.833333333334,23.27628387096774
2011-07-25,10176.458333333334,23.193348387096776
2011-07-26,9748.5,23.110412903225807
2011-07-27,9242.708333333334,23.027477419354838
2011-07-28,9970.166666666666,22.944541935483873
2011-07-29,9897.416666666666,22.861606451612904
2011-07-30,8966.25,22.778670967741935
2011-07-31,8602.916666666666,22.69573548387097
2011-08-01,9767.583333333334,22.6128
2011-08-02,10011.625,22.506309677419356
2011-08-03,9507.666666666666,22.39981935483871
2011-08-04,9461.083333333334,22.293329032258065
2011-08-05,9645.666666666666,22.18683870967742
2011-08-06,9058.958333333334,22.080348387096773
2011-08-07,8669.875,21.97385806451613
2011-08-08,9450.916666666666,21.86736774193548
2011-08-09,9297.708333333334,21.760877419354838
2011-08-10,8477.416666666666,21.654387096774194
2011-08-11,8154.25,21.547896774193546
2011-08-12,8106.291666666667,21.441406451612902
2011-08-13,7544.166666666667,21.33491612903226
2011-08-14,6808.708333333333,21.22842580645161
2011-08-15,7973.541666666667,21.121935483870967
2011-08-16,8320.958333333334,21.015445161290323
2011-08-17,8407.666666666666,20.908954838709676
2011-08-18,8929.416666666666,20.80246451612903
2011-08-19,8992.208333333334,20.695974193548388
2011-08-20,7890.833333333333,20.58948387096774
2011-08-21,7282.125,20.482993548387096
2011-08-22,7755.25,20.376503225806452
2011-08-23,8136.5,20.270012903225805
2011-08-24,8866.291666666666,20.16352258064516
2011-08-25,8748.791666666666,20.057032258064517
2011-08-26,8188.458333333333,19.95054193548387
2011-08-27,7361.416666666667,19.844051612903225
2011-08-28,6885.958333333333,19.737561290322578
2011-08-29,7734.416666666667,19.631070967741934
2011-08-30,7998.75,19.52458064516129
2011-08-31,8465.708333333334,19.418090322580642
2011-09-01,9610.333333333334,19.3116
2011-09-02,10270.458333333334,19.064206666666664
2011-09-03,9519.833333333334,18.816813333333332
2011-09-04,7428.375,18.569419999999997
2011-09-05,6166.333333333333,18.322026666666666
2011-09-06,7143.791666666667,18.07463333333333
2011-09-07,7415.041666666667,17.82724
2011-09-08,7698.875,17.579846666666665
2011-09-09,7751.708333333333,17.332453333333333
2011-09-10,6884.0,17.08506
2011-09-11,6545.041666666667,16.837666666666664
2011-09-12,7911.0,16.590273333333332
2011-09-13,8451.0,16.34288
2011-09-14,7798.416666666667,16.095486666666666
2011-09-15,7199.625,15.848093333333333
2011-09-16,6989.958333333333,15.6007
2011-09-17,6288.875,15.353306666666665
2011-09-18,5985.458333333333,15.105913333333334
2011-09-19,7207.375,14.858519999999999
2011-09-20,7555.666666666667,14.611126666666665
2011-09-21,7653.333333333333,14.363733333333332
2011-09-22,7585.083333333333,14.11634
2011-09-23,7275.875,13.868946666666666
2011-09-24,6332.041666666667,13.621553333333333
2011-09-25,6197.625,13.37416
2011-09-26,7498.625,13.126766666666665
2011-09-27,7401.083333333333,12.879373333333334
2011-09-28,7358.541666666667,12.631979999999999
2011-09-29,7320.125,12.384586666666667
2011-09-30,7084.833333333333,12.137193333333332
2011-10-01,6554.833333333333,11.8898
2011-10-02,6254.208333333333,11.778316129032257
2011-10-03,7298.875,11.666832258064515
2011-10-04,7369.25,11.555348387096773
2011-10-05,7247.666666666667,11.443864516129032
2011-10-06,7317.375,11.33238064516129
