Datetime,DAYTON,Estimated_Temp_C
2004-10-01,1924.1304347826087,13.066
2004-10-02,1641.5833333333333,11.497943962585037
2004-10-03,1528.7083333333333,11.29926292517007
2004-10-04,1926.5416666666667,11.100581887755103
2004-10-05,1970.125,10.901900850340136
2004-10-06,1982.4583333333333,10.703219812925171
2004-10-07,1975.5833333333333,10.504538775510206
2004-10-08,1962.625,10.30585773809524
2004-10-09,1681.25,10.107176700680274
2004-10-10,1551.875,9.908495663265308
2004-10-11,1924.8333333333333,9.709814625850342
2004-10-12,1973.0416666666667,9.511133588435374
2004-10-13,1970.5416666666667,9.31245255102041
2004-10-14,1969.0416666666667,9.113771513605442
2004-10-15,1945.0833333333333,8.915090476190477
2004-10-16,1735.0416666666667,8.71640943877551
2004-10-17,1647.9583333333333,8.517728401360545
2004-10-18,2074.5416666666665,8.319047363945579
2004-10-19,2018.7916666666667,8.120366326530613
2004-10-20,1985.7083333333333,7.921685289115647
2004-10-21,1963.5416666666667,7.723004251700681
2004-10-22,1942.75,7.524323214285715
2004-10-23,1712.1666666666667,7.325642176870749
2004-10-24,1573.0416666666667,7.126961139455784
2004-10-25,1968.7916666666667,6.928280102040818
2004-10-26,1993.7916666666667,6.729599064625852
2004-10-27,1992.4583333333333,6.530918027210886
2004-10-28,1977.7083333333333,6.332236989795919
2004-10-29,2015.0416666666667,6.133555952380953
2004-10-30,1737.625,5.934874914965987
2004-10-31,1585.2173913043478,5.736193877551021
2004-11-01,1988.9166666666667,8.596
2004-11-02,1984.2916666666667,5.205860187292141
2004-11-03,2012.75,5.028782874584282
2004-11-04,2031.4583333333333,4.851705561876423
2004-11-05,1993.7083333333333,4.674628249168563
2004-11-06,1736.2916666666667,4.497550936460704
2004-11-07,1597.8333333333333,4.320473623752845
2004-11-08,2024.75,4.143396311044985
2004-11-09,2108.2916666666665,3.966318998337126
2004-11-10,2068.958333333333,3.7892416856292663
2004-11-11,2051.208333333333,3.612164372921408
2004-11-12,2036.7083333333333,3.435087060213548
2004-11-13,1824.6666666666667,3.2580097475056893
2004-11-14,1733.6666666666667,3.08093243479783
2004-11-15,2074.75,2.9038551220899707
2004-11-16,2055.75,2.726777809382112
2004-11-17,2023.875,2.549700496674252
2004-11-18,1985.2916666666667,2.3726231839663927
2004-11-19,1940.2916666666667,2.1955458712585334
2004-11-20,1691.25,2.018468558550674
2004-11-21,1635.7916666666667,1.8413912458428148
2004-11-22,2019.3333333333333,1.6643139331349557
2004-11-23,2008.875,1.487236620427096
2004-11-24,1994.2083333333333,1.3101593077192373
2004-11-25,1683.7083333333333,1.133081995011378
2004-11-26,1776.8333333333333,0.9560046823035186
2004-11-27,1693.0833333333333,0.7789273695956593
2004-11-28,1761.875,0.6018500568878
2004-11-29,2186.4166666666665,0.4247727441799407
2004-11-30,2181.5,0.2476954314720812
2004-12-01,2169.0,0.909
2004-12-02,2206.625,0.137015625
2004-12-03,2180.583333333333,0.137015625
2004-12-04,1972.0416666666667,0.137015625
2004-12-05,1773.625,0.137015625
2004-12-06,2097.7916666666665,0.137015625
2004-12-07,2081.083333333333,0.137015625
2004-12-08,2127.9166666666665,0.137015625
2004-12-09,2185.125,0.137015625
2004-12-10,2100.75,0.137015625
2004-12-11,1980.3333333333333,0.137015625
2004-12-12,1916.0416666666667,0.137015625
2004-12-13,2349.625,0.137015625
2004-12-14,2442.25,0.137015625
2004-12-15,2423.333333333333,0.137015625
2004-12-16,2401.208333333333,0.137015625
2004-12-17,2284.1666666666665,0.137015625
2004-12-18,2090.333333333333,0.137015625
2004-12-19,2155.958333333333,0.137015625
2004-12-20,2672.958333333333,0.137015625
2004-12-21,2400.2916666666665,0.137015625
2004-12-22,2365.708333333333,0.137015625
2004-12-23,2183.4166666666665,0.137015625
2004-12-24,2197.125,0.137015625
2004-12-25,2173.333333333333,0.137015625
2004-12-26,2007.5,0.137015625
2004-12-27,2257.9166666666665,0.137015625
2004-12-28,2219.333333333333,0.137015625
2004-12-29,1998.625,0.137015625
2004-12-30,1920.5,0.137015625
2004-12-31,1730.625,0.137015625
2005-01-01,1608.1666666666667,0.516
2005-01-02,1647.0,-1.323801168117763
2005-01-03,1982.5416666666667,-1.2735719179845757
2005-01-04,2117.958333333333,-1.223342667851388
2005-01-05,2266.625,-1.1731134177182003
2005-01-06,2152.875,-1.122884167585013
2005-01-07,2203.958333333333,-1.0726549174518254
2005-01-08,1998.0,-1.0224256673186378
2005-01-09,1854.375,-0.9721964171854504
2005-01-10,2186.5416666666665,-0.9219671670522628
2005-01-11,2184.958333333333,-0.8717379169190753
2005-01-12,2060.833333333333,-0.8215086667858879
2005-01-13,2073.6666666666665,-0.7712794166527003
2005-01-14,2264.458333333333,-0.7210501665195128
2005-01-15,2119.75,-0.6708209163863252
2005-01-16,2129.333333333333,-0.6205916662531378
2005-01-17,2572.708333333333,-0.5703624161199502
2005-01-18,2664.6666666666665,-0.5201331659867626
2005-01-19,2508.625,-0.4699039158535751
2005-01-20,2416.5,-0.4196746657203876
2005-01-21,2443.083333333333,-0.3694454155872
2005-01-22,2261.083333333333,-0.3192161654540126
2005-01-23,2311.583333333333,-0.2689869153208251
2005-01-24,2575.5416666666665,-0.2187576651876375
2005-01-25,2351.708333333333,-0.1685284150544499
2005-01-26,2330.25,-0.1182991649212623
2005-01-27,2530.5,-0.068069914788075
2005-01-28,2528.083333333333,-0.0178406646548874
2005-01-29,2126.2916666666665,0.0323885854783001
2005-01-30,1949.375,0.0826178356114877
2005-01-31,2389.5416666666665,0.132847085744675
