Datetime,EKPC,Estimated_Temp_C
2013-06-02,1225.125,23.38426666666667
2013-06-03,1237.9166666666667,23.404533333333333
2013-06-04,1228.25,23.4248
2013-06-05,1290.0833333333333,23.44506666666667
2013-06-06,1301.1666666666667,23.465333333333334
2013-06-07,1259.9583333333333,23.4856
2013-06-08,1233.9583333333333,23.505866666666666
2013-06-09,1197.75,23.526133333333334
2013-06-10,1284.625,23.546400000000002
2013-06-11,1390.1666666666667,23.566666666666666
2013-06-12,1560.0833333333333,23.586933333333334
2013-06-13,1512.6666666666667,23.607200000000002
2013-06-14,1296.6666666666667,23.627466666666667
2013-06-15,1333.75,23.647733333333335
2013-06-16,1296.1666666666667,23.668
2013-06-17,1445.625,23.688266666666667
2013-06-18,1370.1666666666667,23.708533333333335
2013-06-19,1397.875,23.7288
2013-06-20,1429.625,23.749066666666668
2013-06-21,1471.7916666666667,23.769333333333336
2013-06-22,1496.25,23.7896
2013-06-23,1465.9583333333333,23.809866666666668
2013-06-24,1491.5416666666667,23.830133333333336
2013-06-25,1572.875,23.8504
2013-06-26,1509.6666666666667,23.87066666666667
2013-06-27,1477.625,23.890933333333333
2013-06-28,1504.8333333333333,23.9112
2013-06-29,1374.5416666666667,23.93146666666667
2013-06-30,1320.5,23.951733333333333
2013-07-01,1333.125,23.972
2013-07-02,1341.2916666666667,23.96925806451613
2013-07-03,1321.375,23.96651612903226
2013-07-04,1178.5833333333333,23.96377419354839
2013-07-05,1216.8333333333333,23.961032258064517
2013-07-06,1201.5416666666667,23.958290322580645
2013-07-07,1321.2083333333333,23.955548387096776
2013-07-08,1544.625,23.952806451612904
2013-07-09,1649.5416666666667,23.950064516129032
2013-07-10,1546.7916666666667,23.947322580645164
2013-07-11,1464.75,23.94458064516129
2013-07-12,1369.0833333333333,23.94183870967742
2013-07-13,1311.0833333333333,23.939096774193548
2013-07-14,1475.6666666666667,23.93635483870968
2013-07-15,1640.9583333333333,23.933612903225807
2013-07-16,1717.0833333333333,23.930870967741935
2013-07-17,1707.7083333333333,23.928129032258067
2013-07-18,1723.75,23.925387096774195
2013-07-19,1673.75,23.922645161290323
2013-07-20,1638.75,23.919903225806454
2013-07-21,1492.0416666666667,23.917161290322582
2013-07-22,1453.0,23.91441935483871
2013-07-23,1552.5416666666667,23.911677419354838
2013-07-24,1386.2083333333333,23.90893548387097
2013-07-25,1373.0833333333333,23.906193548387098
2013-07-26,1376.3333333333333,23.903451612903226
2013-07-27,1291.9583333333333,23.900709677419357
2013-07-28,1217.7083333333333,23.897967741935485
2013-07-29,1310.0,23.895225806451613
2013-07-30,1300.1666666666667,23.89248387096774
2013-07-31,1277.6666666666667,23.889741935483872
2013-08-01,1383.2083333333333,23.887
2013-08-02,1376.4166666666667,23.816967741935485
2013-08-03,1403.0416666666667,23.746935483870967
2013-08-04,1344.1666666666667,23.676903225806452
2013-08-05,1365.2083333333333,23.606870967741937
2013-08-06,1434.4583333333333,23.53683870967742
2013-08-07,1467.0,23.466806451612904
2013-08-08,1527.2083333333333,23.39677419354839
2013-08-09,1515.7916666666667,23.32674193548387
2013-08-10,1445.2916666666667,23.256709677419355
2013-08-11,1487.7916666666667,23.18667741935484
2013-08-12,1490.0833333333333,23.11664516129032
2013-08-13,1423.1666666666667,23.046612903225807
2013-08-14,1238.7083333333333,22.97658064516129
2013-08-15,1236.4583333333333,22.906548387096773
2013-08-16,1282.5416666666667,22.83651612903226
2013-08-17,1289.125,22.766483870967743
2013-08-18,1270.125,22.696451612903225
2013-08-19,1427.75,22.62641935483871
2013-08-20,1459.125,22.556387096774195
2013-08-21,1422.9583333333333,22.48635483870968
2013-08-22,1509.7083333333333,22.41632258064516
2013-08-23,1487.25,22.346290322580646
2013-08-24,1436.7083333333333,22.27625806451613
2013-08-25,1393.5833333333333,22.206225806451613
2013-08-26,1507.9583333333333,22.136193548387098
2013-08-27,1564.7083333333333,22.066161290322583
2013-08-28,1657.5416666666667,21.996129032258064
2013-08-29,1652.75,21.92609677419355
2013-08-30,1606.25,21.856064516129035
2013-08-31,1525.6666666666667,21.786032258064516
