Datetime,PJMW,Estimated_Temp_C
2002-04-01,5271.173913043478,16.32
2002-04-02,5310.416666666667,13.855929032258064
2002-04-03,5325.916666666667,14.033010015663663
2002-04-04,5670.791666666667,14.21009099906926
2002-04-05,5686.125,14.38717198247486
2002-04-06,5367.791666666667,14.564252965880456
2002-04-07,5060.652173913043,14.741333949286055
2002-04-08,5283.875,14.918414932691654
2002-04-09,5136.083333333333,15.095495916097253
2002-04-10,5171.666666666667,15.27257689950285
2002-04-11,5207.875,15.449657882908449
2002-04-12,5090.416666666667,15.626738866314046
2002-04-13,4586.208333333333,15.803819849719645
2002-04-14,4401.333333333333,15.980900833125242
2002-04-15,5121.333333333333,16.15798181653084
2002-04-16,5496.0,16.335062799936438
2002-04-17,5712.625,16.512143783342037
2002-04-18,5726.041666666667,16.689224766747635
2002-04-19,5592.041666666667,16.86630575015323
2002-04-20,4704.583333333333,17.04338673355883
2002-04-21,4426.666666666667,17.22046771696443
2002-04-22,5187.625,17.397548700370027
2002-04-23,5345.458333333333,17.574629683775626
2002-04-24,5340.0,17.75171066718122
2002-04-25,5182.0,17.92879165058682
2002-04-26,5125.333333333333,18.10587263399242
2002-04-27,4705.083333333333,18.282953617398015
2002-04-28,4452.333333333333,18.460034600803617
2002-04-29,5221.666666666667,18.63711558420921
2002-04-30,5230.0,18.81419656761481
2002-05-01,5112.75,18.396
2002-05-02,5202.5,19.102083333333333
2002-05-03,4975.125,19.2425833643542
2002-05-04,4676.833333333333,19.38308339537507
2002-05-05,4461.875,19.523583426395938
2002-05-06,5081.75,19.664083457416808
2002-05-07,5194.125,19.804583488437675
2002-05-08,5236.583333333333,19.945083519458542
2002-05-09,5290.375,20.085583550479413
2002-05-10,5068.416666666667,20.226083581500284
2002-05-11,4525.25,20.36658361252115
2002-05-12,4400.166666666667,20.50708364354202
2002-05-13,5243.083333333333,20.64758367456289
2002-05-14,5200.083333333333,20.78808370558376
2002-05-15,5223.833333333333,20.928583736604622
2002-05-16,5209.125,21.069083767625497
2002-05-17,5137.916666666667,21.209583798646364
2002-05-18,4735.333333333333,21.350083829667238
2002-05-19,4665.208333333333,21.4905838606881
2002-05-20,5293.125,21.63108389170897
2002-05-21,5377.0,21.77158392272984
2002-05-22,5331.125,21.912083953750702
2002-05-23,5243.75,22.052583984771577
2002-05-24,5184.541666666667,22.193084015792444
2002-05-25,4620.666666666667,22.333584046813318
2002-05-26,4483.0,22.47408407783418
2002-05-27,4662.791666666667,22.61458410885505
2002-05-28,5418.0,22.75508413987592
2002-05-29,5611.125,22.89558417089679
2002-05-30,5875.916666666667,23.036084201917657
2002-05-31,5896.541666666667,23.176584232938524
2002-06-01,5379.875,24.4306
2002-06-02,4883.875,23.15101587301588
2002-06-03,5304.416666666667,23.21922232778169
2002-06-04,5770.208333333333,23.287428782547504
2002-06-05,6194.041666666667,23.35563523731332
2002-06-06,5699.375,23.423841692079133
2002-06-07,5329.75,23.492048146844947
2002-06-08,4986.5,23.56025460161076
2002-06-09,5074.291666666667,23.628461056376576
2002-06-10,6193.0,23.69666751114239
2002-06-11,6459.375,23.764873965908205
2002-06-12,6312.875,23.83308042067402
2002-06-13,5962.125,23.901286875439837
2002-06-14,5557.5,23.969493330205648
2002-06-15,4785.75,24.037699784971466
2002-06-16,4553.916666666667,24.10590623973728
2002-06-17,5280.125,24.17411269450309
2002-06-18,5387.75,24.242319149268905
2002-06-19,5644.541666666667,24.31052560403472
2002-06-20,5902.833333333333,24.378732058800534
2002-06-21,5921.458333333333,24.446938513566348
2002-06-22,5543.166666666667,24.51514496833216
2002-06-23,5560.041666666667,24.583351423097977
2002-06-24,6424.75,24.65155787786379
2002-06-25,6642.958333333333,24.719764332629605
2002-06-26,6597.958333333333,24.78797078739542
2002-06-27,6328.041666666667,24.856177242161237
2002-06-28,5864.041666666667,24.92438369692705
2002-06-29,5531.458333333333,24.992590151692863
2002-06-30,5494.458333333333,25.06079660645868
2002-07-01,6250.833333333333,26.5708
2002-07-02,6647.958333333333,25.052180645161293
2002-07-03,6784.166666666667,25.03182748079877
2002-07-04,6158.625,25.011474316436253
2002-07-05,5961.5,24.99112115207373
2002-07-06,5119.458333333333,24.970767987711216
2002-07-07,4954.541666666667,24.950414823348694
2002-07-08,6041.541666666667,24.930061658986176
2002-07-09,6389.916666666667,24.909708494623658
2002-07-10,6105.958333333333,24.88935533026114
2002-07-11,5521.5,24.86900216589862
2002-07-12,5455.541666666667,24.8486490015361
2002-07-13,5055.625,24.82829583717358
2002-07-14,5092.25,24.807942672811063
2002-07-15,6168.875,24.787589508448544
2002-07-16,6452.125,24.767236344086022
2002-07-17,6642.375,24.746883179723504
2002-07-18,6682.375,24.726530015360986
2002-07-19,6263.791666666667,24.706176850998464
2002-07-20,5808.416666666667,24.685823686635946
2002-07-21,5827.833333333333,24.665470522273427
2002-07-22,6813.666666666667,24.64511735791091
2002-07-23,6712.541666666667,24.624764193548387
2002-07-24,6077.375,24.60441102918587
2002-07-25,5923.5,24.58405786482335
2002-07-26,5810.625,24.563704700460832
2002-07-27,5638.291666666667,24.54335153609831
2002-07-28,6061.041666666667,24.522998371735792
2002-07-29,7031.125,24.502645207373277
2002-07-30,6825.333333333333,24.482292043010755
2002-07-31,6755.5,24.461938878648237
2002-08-01,6844.416666666667,25.8626
2002-08-02,6828.125,24.31396451612904
2002-08-03,6333.666666666667,24.206306849516952
2002-08-04,6041.625,24.098649182904868
2002-08-05,6633.0,23.990991516292784
2002-08-06,5808.166666666667,23.8833338496807
