,Temp_C
2004-10-01,13.066
2004-10-02,11.497943962585035
2004-10-03,11.29926292517007
2004-10-04,11.100581887755103
2004-10-05,10.901900850340137
2004-10-06,10.703219812925171
2004-10-07,10.504538775510206
2004-10-08,10.30585773809524
2004-10-09,10.107176700680274
2004-10-10,9.908495663265308
2004-10-11,9.709814625850342
2004-10-12,9.511133588435374
2004-10-13,9.31245255102041
2004-10-14,9.113771513605442
2004-10-15,8.915090476190477
2004-10-16,8.71640943877551
2004-10-17,8.517728401360545
2004-10-18,8.319047363945579
2004-10-19,8.120366326530613
2004-10-20,7.921685289115647
2004-10-21,7.723004251700681
2004-10-22,7.524323214285715
2004-10-23,7.325642176870749
2004-10-24,7.1269611394557835
2004-10-25,6.928280102040818
2004-10-26,6.729599064625852
2004-10-27,6.530918027210886
2004-10-28,6.332236989795919
2004-10-29,6.133555952380953
2004-10-30,5.934874914965987
2004-10-31,5.736193877551021
2004-11-01,8.596
2004-11-02,5.205860187292141
2004-11-03,5.028782874584282
2004-11-04,4.851705561876423
2004-11-05,4.674628249168563
2004-11-06,4.497550936460704
2004-11-07,4.320473623752845
2004-11-08,4.143396311044985
2004-11-09,3.966318998337126
2004-11-10,3.7892416856292668
2004-11-11,3.6121643729214075
2004-11-12,3.435087060213548
2004-11-13,3.2580097475056893
2004-11-14,3.08093243479783
2004-11-15,2.9038551220899707
2004-11-16,2.7267778093821113
2004-11-17,2.549700496674252
2004-11-18,2.3726231839663927
2004-11-19,2.1955458712585334
2004-11-20,2.018468558550674
2004-11-21,1.8413912458428148
2004-11-22,1.6643139331349555
2004-11-23,1.4872366204270961
2004-11-24,1.3101593077192373
2004-11-25,1.133081995011378
2004-11-26,0.9560046823035186
2004-11-27,0.7789273695956593
2004-11-28,0.6018500568878
2004-11-29,0.4247727441799407
2004-11-30,0.24769543147208126
2004-12-01,0.909
2004-12-02,0.13701562500000003
2004-12-03,0.13701562500000003
2004-12-04,0.13701562500000003
2004-12-05,0.13701562500000003
2004-12-06,0.13701562500000003
2004-12-07,0.13701562500000003
2004-12-08,0.13701562500000003
2004-12-09,0.13701562500000003
2004-12-10,0.13701562500000003
2004-12-11,0.13701562500000003
2004-12-12,0.13701562500000003
2004-12-13,0.13701562500000003
2004-12-14,0.13701562500000003
2004-12-15,0.13701562500000003
2004-12-16,0.13701562500000003
2004-12-17,0.13701562500000003
2004-12-18,0.13701562500000003
2004-12-19,0.13701562500000003
2004-12-20,0.13701562500000003
2004-12-21,0.13701562500000003
2004-12-22,0.13701562500000003
2004-12-23,0.13701562500000003
2004-12-24,0.13701562500000003
2004-12-25,0.13701562500000003
2004-12-26,0.13701562500000003
2004-12-27,0.13701562500000003
2004-12-28,0.13701562500000003
2004-12-29,0.13701562500000003
2004-12-30,0.13701562500000003
2004-12-31,0.13701562500000003
2005-01-01,0.516
2005-01-02,-1.323801168117763
2005-01-03,-1.2735719179845755
2005-01-04,-1.2233426678513881
2005-01-05,-1.1731134177182005
2005-01-06,-1.122884167585013
2005-01-07,-1.0726549174518254
2005-01-08,-1.0224256673186378
2005-01-09,-0.9721964171854505
2005-01-10,-0.9219671670522629
2005-01-11,-0.8717379169190753
2005-01-12,-0.8215086667858879
2005-01-13,-0.7712794166527003
2005-01-14,-0.7210501665195128
2005-01-15,-0.6708209163863252
2005-01-16,-0.6205916662531378
2005-01-17,-0.5703624161199502
2005-01-18,-0.5201331659867626
2005-01-19,-0.46990391585357516
2005-01-20,-0.4196746657203876
2005-01-21,-0.3694454155872
2005-01-22,-0.31921616545401266
2005-01-23,-0.2689869153208251
2005-01-24,-0.2187576651876375
2005-01-25,-0.16852841505444993
2005-01-26,-0.11829916492126236
2005-01-27,-0.068069914788075
2005-01-28,-0.017840664654887428
2005-01-29,0.03238858547830015
2005-01-30,0.08261783561148772
2005-01-31,0.13284708574467508
2005-02-01,2.052
2005-02-02,0.35982914531079613
2005-02-03,0.5365819547437296
2005-02-04,0.7133347641766632
2005-02-05,0.8900875736095966
2005-02-06,1.0668403830425301
2005-02-07,1.2435931924754637
2005-02-08,1.420346001908397
2005-02-09,1.5970988113413307
2005-02-10,1.7738516207742643
2005-02-11,1.9506044302071976
2005-02-12,2.1273572396401312
2005-02-13,2.304110049073065
2005-02-14,2.4808628585059984
2005-02-15,2.6576156679389316
2005-02-16,2.834368477371865
2005-02-17,3.0111212868047987
2005-02-18,3.1878740962377323
2005-02-19,3.364626905670666
2005-02-20,3.541379715103599
2005-02-21,3.7181325245365326
2005-02-22,3.8948853339694662
2005-02-23,4.071638143402399
2005-02-24,4.248390952835333
2005-02-25,4.425143762268267
2005-02-26,4.6018965717012
2005-02-27,4.778649381134134
2005-02-28,4.955402190567066
2005-03-01,3.353
2005-03-02,4.4753870967741936
2005-03-03,4.695222341696535
2005-03-04,4.915057586618877
2005-03-05,5.134892831541219
2005-03-06,5.3547280764635605
2005-03-07,5.574563321385902
2005-03-08,5.794398566308244
2005-03-09,6.014233811230586
2005-03-10,6.2340690561529275
2005-03-11,6.453904301075269
2005-03-12,6.673739545997611
2005-03-13,6.893574790919953
2005-03-14,7.113410035842294
2005-03-15,7.333245280764635
2005-03-16,7.553080525686977
2005-03-17,7.772915770609319
2005-03-18,7.992751015531661
2005-03-19,8.212586260454003
2005-03-20,8.432421505376343
2005-03-21,8.652256750298687
2005-03-22,8.872091995221027
2005-03-23,9.09192724014337
2005-03-24,9.31176248506571
2005-03-25,9.531597729988054
2005-03-26,9.751432974910394
2005-03-27,9.971268219832735
2005-03-28,10.191103464755077
