Date,Temp_C
2005-01-01,-2.927322563529337
2005-01-02,-2.94163435196731
2005-01-03,-2.951777877404459
2005-01-04,-2.957742615059119
2005-01-05,-2.9595197766968244
2005-01-06,-2.9571023370337857
2005-01-07,-2.9504850585448334
2005-01-08,-2.939664514601569
2005-01-09,-2.924639110869583
2005-01-10,-2.9054091048969966
2005-01-11,-2.8819766238301083
2005-01-12,-2.8543456801956664
2005-01-13,-2.822522185693205
2005-01-14,-2.7865139629449738
2005-01-15,-2.746330755155162
2005-01-16,-2.7019842336345663
2005-01-17,-2.6534880031512733
2005-01-18,-2.600857605072666
2005-01-19,-2.5441105182686616
2005-01-20,-2.483266157751057
2005-01-21,-2.418345871028694
2005-01-22,-2.3493729321631776
2005-01-23,-2.276372533514948
2005-01-24,-2.199371775174601
2005-01-25,-2.118399652079476
2005-01-26,-2.0334870388207307
2005-01-27,-1.9446666721512251
2005-01-28,-1.8519731312097925
2005-01-29,-1.7554428154825246
2005-01-30,-1.6551139205268766
2005-01-31,-1.5510264114894623
2005-02-01,-1.4432219944533848
2005-02-02,-1.331744085655934
2005-02-03,-1.2166377786223124
2005-02-04,-1.0979498092658124
2005-02-05,-0.9757285190095648
2005-02-06,-0.8500238159894491
2005-02-07,-0.7208871344021874
2005-02-08,-0.5883713920669247
2005-02-09,-0.45253094627265744
2005-02-10,-0.31342154798783284
2005-02-11,-0.17110029451221154
2005-02-12,-0.02562558065461973
2005-02-13,0.12294295147634893
2005-02-14,0.2745444639784873
2005-02-15,0.42911697586580844
2005-02-16,0.5865974168861661
2005-02-17,0.7469216823481977
2005-02-18,0.9100246888569361
2005-02-19,1.0758404308552967
2005-02-20,1.2443020378669454
2005-02-21,1.4153418323344567
2005-02-22,1.5888913879453939
2005-02-23,1.7648815883379347
2005-02-24,1.9432426860768883
2005-02-25,2.1239043617904527
2005-02-26,2.3067957833578174
2005-02-27,2.491845665037771
2005-02-28,2.6789823264287365
2005-03-01,2.86813375115127
2005-03-02,3.05922764514482
2005-03-03,3.252191494471728
2005-03-04,3.4469526225227156
2005-03-05,3.6434382465197537
2005-03-06,3.8415755332141046
2005-03-07,4.041291653679389
2005-03-08,4.242513837101867
2005-03-09,4.445169423472866
2005-03-10,4.649185915090864
2005-03-11,4.854491026784043
2005-03-12,5.061012734767237
2005-03-13,5.26867932405068
2005-03-14,5.477419434321771
2005-03-15,5.6871621042247185
2005-03-16,5.897836813967203
2005-03-17,6.109373526187247
2005-03-18,6.321702725017931
2005-03-19,6.5347554532921155
2005-03-20,6.748463347833986
2005-03-21,6.962758672789015
2005-03-22,7.177574350948874
2005-03-23,7.392843993032756
2005-03-24,7.608501924891788
2005-03-25,7.824483212608211
2005-03-26,8.040723685466425
2005-03-27,8.2571599567781
2005-03-28,8.473729442548965
2005-03-29,8.69037037798022
2005-03-30,8.907021831802815
2005-03-31,9.123623718448208
2005-04-01,9.340116808064572
2005-04-02,9.556442734392562
2005-04-03,9.772544000520217
2005-04-04,9.988363982541557
2005-04-05,10.20384693114865
2005-04-06,10.418937971191902
2005-04-07,10.633583099248316
2005-04-08,10.847729179242162
2005-04-09,11.06132393616733
2005-04-10,11.274315947965096
2005-04-11,11.486654635615492
2005-04-12,11.698290251504721
2005-04-13,11.90917386613511
2005-04-14,12.11925735324807
2005-04-15,12.328493373434156
2005-04-16,12.536835356307959
2005-04-17,12.744237481328799
2005-04-18,12.950654657351231
2005-04-19,13.15604250099248
2005-04-20,13.360357313906256
2005-04-21,13.563556059055086
2005-04-22,13.765596336075356
2005-04-23,13.966436355831068
2005-04-24,14.166034914254256
2005-04-25,14.36435136557116
2005-04-26,14.561345595014512
2005-04-27,14.756977991123293
2005-04-28,14.951209417731642
2005-04-29,15.144001185749346
2005-04-30,15.335315024836124
2005-05-01,15.525113055071877
2005-05-02,15.713357758724698
2005-05-03,15.900011952217536
2005-05-04,16.085038758393694
2005-05-05,16.26840157917993
2005-05-06,16.450064068744496
2005-05-07,16.629990107245856
2005-05-08,16.808143775265535
2005-05-09,16.984489329016746
2005-05-10,17.158991176417658
2005-05-11,17.331613854115545
2005-05-12,17.50232200554538
2005-05-13,17.671080360102962
2005-05-14,17.837853713509695
2005-05-15,18.002606909442324
2005-05-16,18.16530482249742
2005-05-17,18.325912342556414
2005-05-18,18.484394360613095
2005-05-19,18.640715756120933
2005-05-20,18.79484138591374
2005-05-21,18.946736074748166
2005-05-22,19.096364607512356
2005-05-23,19.243691723140103
2005-05-24,19.388682110265158
2005-05-25,19.531300404645393
2005-05-26,19.671511188381558
2005-05-27,19.809278990950375
2005-05-28,19.944568292066627
2005-05-29,20.07734352638375
2005-05-30,20.20756909003738
2005-05-31,20.33520934903116
2005-06-01,20.46022864945885
2005-06-02,20.582591329552066
2005-06-03,20.702261733537377
2005-06-04,20.819204227281908
2005-06-05,20.93338321570146
2005-06-06,21.04476316190025
2005-06-07,21.153308608006675
2005-06-08,21.258984197664724
2005-06-09,21.361754700136096
2005-06-10,21.461585035963687
2005-06-11,21.558440304142614
2005-06-12,21.652285810741
2005-06-13,21.743087098908482
2005-06-14,21.83080998020666
2005-06-15,21.915420567192037
2005-06-16,21.99688530717841
2005-06-17,22.075171017102463
2005-06-18,22.150244919413183
2005-06-19,22.2220746789027
2005-06-20,22.290628440393732
2005-06-21,22.35587486719612
2005-06-22,22.417783180242857
2005-06-23,22.47632319781402
2005-06-24,22.531465375755168
2005-06-25,22.583180848095438
2005-06-26,22.631441467969175
2005-06-27,22.67621984874399
2005-06-28,22.717489405257446
2005-06-29,22.75522439506402
