,Temp_C
2005-01-01,-2.002
2005-01-02,-3.1777297950550683
2005-01-03,-3.142539438018882
2005-01-04,-3.107349080982695
2005-01-05,-3.072158723946508
2005-01-06,-3.0369683669103216
2005-01-07,-3.0017780098741347
2005-01-08,-2.966587652837948
2005-01-09,-2.9313972958017613
2005-01-10,-2.8962069387655744
2005-01-11,-2.8610165817293876
2005-01-12,-2.825826224693201
2005-01-13,-2.790635867657014
2005-01-14,-2.7554455106208273
2005-01-15,-2.720255153584641
2005-01-16,-2.685064796548454
2005-01-17,-2.649874439512267
2005-01-18,-2.6146840824760806
2005-01-19,-2.5794937254398937
2005-01-20,-2.544303368403707
2005-01-21,-2.5091130113675204
2005-01-22,-2.4739226543313335
2005-01-23,-2.4387322972951466
2005-01-24,-2.40354194025896
2005-01-25,-2.3683515832227733
2005-01-26,-2.3331612261865864
2005-01-27,-2.2979708691504
2005-01-28,-2.262780512114213
2005-01-29,-2.227590155078026
2005-01-30,-2.1923997980418397
2005-01-31,-2.157209441005653
2005-02-01,-0.4310000000000001
2005-02-02,-1.9482232238276993
2005-02-03,-1.7744273636859327
2005-02-04,-1.6006315035441658
2005-02-05,-1.4268356434023994
2005-02-06,-1.2530397832606326
2005-02-07,-1.079243923118866
2005-02-08,-0.9054480629770993
2005-02-09,-0.7316522028353327
2005-02-10,-0.5578563426935661
2005-02-11,-0.3840604825517995
2005-02-12,-0.21026462241003285
2005-02-13,-0.03646876226826601
2005-02-14,0.1373270978735004
2005-02-15,0.31112295801526724
2005-02-16,0.48491881815703364
2005-02-17,0.6587146782988005
2005-02-18,0.8325105384405673
2005-02-19,1.0063063985823337
2005-02-20,1.1801022587241006
2005-02-21,1.353898118865867
2005-02-22,1.5276939790076338
2005-02-23,1.7014898391494002
2005-02-24,1.875285699291167
2005-02-25,2.049081559432934
2005-02-26,2.2228774195747008
2005-02-27,2.3966732797164667
2005-02-28,2.5704691398582336
2005-03-01,1.0440000000000005
2005-03-02,1.9797741935483872
2005-03-03,2.210934245682633
2005-03-04,2.4420942978168787
2005-03-05,2.673254349951124
2005-03-06,2.90441440208537
2005-03-07,3.135574454219616
2005-03-08,3.366734506353861
2005-03-09,3.5978945584881075
2005-03-10,3.829054610622353
2005-03-11,4.060214662756598
2005-03-12,4.2913747148908445
2005-03-13,4.52253476702509
2005-03-14,4.753694819159335
2005-03-15,4.984854871293582
2005-03-16,5.216014923427827
2005-03-17,5.447174975562072
2005-03-18,5.678335027696319
2005-03-19,5.909495079830564
2005-03-20,6.1406551319648095
2005-03-21,6.371815184099056
2005-03-22,6.602975236233301
2005-03-23,6.834135288367547
2005-03-24,7.065295340501793
2005-03-25,7.296455392636038
2005-03-26,7.527615444770284
2005-03-27,7.75877549690453
2005-03-28,7.989935549038775
2005-03-29,8.22109560117302
2005-03-30,8.452255653307267
2005-03-31,8.683415705441513
2005-04-01,10.492
2005-04-02,8.73425806451613
2005-04-03,8.950989841320288
2005-04-04,9.167721618124448
2005-04-05,9.384453394928606
2005-04-06,9.601185171732766
2005-04-07,9.817916948536924
2005-04-08,10.034648725341082
2005-04-09,10.251380502145242
2005-04-10,10.4681122789494
2005-04-11,10.68484405575356
2005-04-12,10.901575832557718
2005-04-13,11.118307609361878
2005-04-14,11.335039386166036
2005-04-15,11.551771162970194
2005-04-16,11.768502939774354
2005-04-17,11.985234716578512
2005-04-18,12.20196649338267
2005-04-19,12.41869827018683
2005-04-20,12.635430046990988
2005-04-21,12.852161823795146
2005-04-22,13.068893600599306
2005-04-23,13.285625377403466
2005-04-24,13.502357154207624
2005-04-25,13.719088931011783
2005-04-26,13.935820707815942
2005-04-27,14.1525524846201
2005-04-28,14.369284261424259
2005-04-29,14.586016038228419
2005-04-30,14.802747815032578
2005-05-01,13.331
2005-05-02,15.15005
2005-05-03,15.315286912013537
2005-05-04,15.480523824027072
2005-05-05,15.645760736040609
2005-05-06,15.810997648054146
2005-05-07,15.976234560067683
2005-05-08,16.141471472081218
2005-05-09,16.306708384094755
2005-05-10,16.47194529610829
2005-05-11,16.63718220812183
2005-05-12,16.802419120135365
2005-05-13,16.967656032148902
2005-05-14,17.132892944162435
2005-05-15,17.298129856175972
2005-05-16,17.46336676818951
2005-05-17,17.628603680203046
2005-05-18,17.793840592216583
2005-05-19,17.95907750423012
2005-05-20,18.124314416243656
2005-05-21,18.28955132825719
2005-05-22,18.454788240270727
2005-05-23,18.620025152284263
2005-05-24,18.7852620642978
2005-05-25,18.950498976311337
2005-05-26,19.115735888324874
2005-05-27,19.28097280033841
2005-05-28,19.446209712351944
2005-05-29,19.611446624365485
2005-05-30,19.776683536379018
2005-05-31,19.941920448392555
2005-06-01,22.681
2005-06-02,19.988111111111113
2005-06-03,20.07059461255767
2005-06-04,20.153078114004224
2005-06-05,20.23556161545078
2005-06-06,20.318045116897334
2005-06-07,20.40052861834389
2005-06-08,20.48301211979045
2005-06-09,20.565495621237
2005-06-10,20.64797912268356
2005-06-11,20.730462624130112
2005-06-12,20.81294612557667
2005-06-13,20.895429627023223
2005-06-14,20.97791312846978
2005-06-15,21.060396629916337
2005-06-16,21.14288013136289
2005-06-17,21.225363632809447
2005-06-18,21.307847134256
2005-06-19,21.390330635702558
2005-06-20,21.472814137149115
2005-06-21,21.55529763859567
2005-06-22,21.637781140042225
2005-06-23,21.72026464148878
2005-06-24,21.802748142935336
2005-06-25,21.88523164438189
2005-06-26,21.967715145828446
2005-06-27,22.050198647275003
2005-06-28,22.132682148721557
2005-06-29,22.215165650168114
2005-06-30,22.297649151614667
