,Temp_C
2002-01-01,2.4275
2002-01-02,-1.7862626408768185
2002-01-03,-1.7483142551376676
2002-01-04,-1.7103658693985166
2002-01-05,-1.6724174836593657
2002-01-06,-1.6344690979202148
2002-01-07,-1.5965207121810638
2002-01-08,-1.558572326441913
2002-01-09,-1.520623940702762
2002-01-10,-1.482675554963611
2002-01-11,-1.44472716922446
2002-01-12,-1.406778783485309
2002-01-13,-1.368830397746158
2002-01-14,-1.330882012007007
2002-01-15,-1.2929336262678561
2002-01-16,-1.2549852405287052
2002-01-17,-1.2170368547895543
2002-01-18,-1.1790884690504033
2002-01-19,-1.1411400833112524
2002-01-20,-1.1031916975721014
2002-01-21,-1.0652433118329505
2002-01-22,-1.0272949260937994
2002-01-23,-0.9893465403546485
2002-01-24,-0.9513981546154976
2002-01-25,-0.9134497688763467
2002-01-26,-0.8755013831371957
2002-01-27,-0.8375529973980448
2002-01-28,-0.7996046116588937
2002-01-29,-0.7616562259197428
2002-01-30,-0.7237078401805919
2002-01-31,-0.6857594544414409
2002-02-01,3.1550000000000002
2002-02-02,-0.4787183519629226
2002-02-03,-0.30962563522355513
2002-02-04,-0.14053291848418759
2002-02-05,0.028559798255179847
2002-02-06,0.19765251499454728
2002-02-07,0.36674523173391493
2002-02-08,0.5358379484732824
2002-02-09,0.7049306652126498
2002-02-10,0.8740233819520172
2002-02-11,1.0431160986913848
2002-02-12,1.2122088154307522
2002-02-13,1.38130153217012
2002-02-14,1.5503942489094875
2002-02-15,1.719486965648855
2002-02-16,1.8885796823882224
2002-02-17,2.05767239912759
2002-02-18,2.2267651158669572
2002-02-19,2.3958578326063247
2002-02-20,2.564950549345692
2002-02-21,2.7340432660850595
2002-02-22,2.9031359828244274
2002-02-23,3.072228699563795
2002-02-24,3.2413214163031623
2002-02-25,3.41041413304253
2002-02-26,3.5795068497818976
2002-02-27,3.748599566521265
2002-02-28,3.9176922832606325
2002-03-01,5.935499999999999
2002-03-02,3.3718629032258063
2002-03-03,3.5932689882697946
2002-03-04,3.814675073313783
2002-03-05,4.036081158357771
2002-03-06,4.257487243401759
2002-03-07,4.478893328445748
2002-03-08,4.700299413489736
2002-03-09,4.921705498533724
2002-03-10,5.143111583577713
2002-03-11,5.364517668621701
2002-03-12,5.585923753665689
2002-03-13,5.807329838709677
2002-03-14,6.028735923753666
