,Temp_C
2002-04-01,16.32
2002-04-02,13.855929032258064
2002-04-03,14.033010015663663
2002-04-04,14.21009099906926
2002-04-05,14.38717198247486
2002-04-06,14.564252965880456
2002-04-07,14.741333949286055
2002-04-08,14.918414932691654
2002-04-09,15.095495916097251
2002-04-10,15.27257689950285
2002-04-11,15.449657882908447
2002-04-12,15.626738866314046
2002-04-13,15.803819849719645
2002-04-14,15.980900833125242
2002-04-15,16.15798181653084
2002-04-16,16.335062799936438
2002-04-17,16.512143783342037
2002-04-18,16.689224766747635
2002-04-19,16.86630575015323
2002-04-20,17.04338673355883
2002-04-21,17.22046771696443
2002-04-22,17.397548700370027
2002-04-23,17.574629683775626
2002-04-24,17.75171066718122
2002-04-25,17.92879165058682
2002-04-26,18.10587263399242
2002-04-27,18.282953617398018
2002-04-28,18.460034600803617
2002-04-29,18.637115584209212
2002-04-30,18.81419656761481
2002-05-01,18.395999999999997
2002-05-02,19.102083333333333
2002-05-03,19.2425833643542
2002-05-04,19.38308339537507
2002-05-05,19.523583426395938
2002-05-06,19.664083457416808
2002-05-07,19.804583488437675
2002-05-08,19.945083519458546
2002-05-09,20.085583550479413
2002-05-10,20.226083581500284
2002-05-11,20.36658361252115
2002-05-12,20.50708364354202
2002-05-13,20.64758367456289
2002-05-14,20.78808370558376
2002-05-15,20.928583736604626
2002-05-16,21.069083767625497
2002-05-17,21.209583798646364
2002-05-18,21.350083829667234
2002-05-19,21.4905838606881
2002-05-20,21.63108389170897
2002-05-21,21.77158392272984
2002-05-22,21.912083953750706
2002-05-23,22.052583984771577
2002-05-24,22.193084015792444
2002-05-25,22.333584046813314
2002-05-26,22.47408407783418
2002-05-27,22.614584108855052
2002-05-28,22.75508413987592
2002-05-29,22.89558417089679
2002-05-30,23.036084201917657
2002-05-31,23.176584232938524
2002-06-01,24.430600000000002
2002-06-02,23.151015873015876
2002-06-03,23.21922232778169
2002-06-04,23.287428782547504
2002-06-05,23.35563523731332
2002-06-06,23.423841692079133
2002-06-07,23.492048146844947
2002-06-08,23.56025460161076
2002-06-09,23.628461056376576
2002-06-10,23.69666751114239
2002-06-11,23.764873965908205
2002-06-12,23.83308042067402
2002-06-13,23.901286875439833
2002-06-14,23.969493330205648
2002-06-15,24.037699784971462
2002-06-16,24.105906239737276
2002-06-17,24.17411269450309
2002-06-18,24.242319149268905
2002-06-19,24.31052560403472
2002-06-20,24.378732058800534
2002-06-21,24.446938513566348
2002-06-22,24.515144968332162
2002-06-23,24.583351423097977
2002-06-24,24.65155787786379
2002-06-25,24.719764332629605
2002-06-26,24.78797078739542
2002-06-27,24.856177242161234
2002-06-28,24.92438369692705
2002-06-29,24.992590151692863
2002-06-30,25.060796606458677
2002-07-01,26.570800000000002
2002-07-02,25.052180645161293
2002-07-03,25.031827480798775
2002-07-04,25.011474316436253
2002-07-05,24.991121152073735
2002-07-06,24.970767987711216
2002-07-07,24.950414823348698
2002-07-08,24.930061658986176
2002-07-09,24.909708494623658
2002-07-10,24.88935533026114
2002-07-11,24.86900216589862
2002-07-12,24.8486490015361
2002-07-13,24.82829583717358
2002-07-14,24.807942672811063
2002-07-15,24.787589508448544
2002-07-16,24.767236344086022
2002-07-17,24.746883179723504
2002-07-18,24.726530015360986
2002-07-19,24.706176850998464
2002-07-20,24.685823686635946
2002-07-21,24.665470522273427
2002-07-22,24.64511735791091
2002-07-23,24.624764193548387
2002-07-24,24.60441102918587
2002-07-25,24.58405786482335
2002-07-26,24.563704700460832
2002-07-27,24.54335153609831
2002-07-28,24.522998371735792
2002-07-29,24.502645207373273
2002-07-30,24.482292043010755
2002-07-31,24.461938878648233
2002-08-01,25.862599999999997
2002-08-02,24.313964516129037
2002-08-03,24.206306849516952
2002-08-04,24.098649182904868
2002-08-05,23.990991516292784
2002-08-06,23.8833338496807
2002-08-07,23.775676183068615
2002-08-08,23.66801851645653
2002-08-09,23.560360849844447
2002-08-10,23.45270318323236
2002-08-11,23.345045516620274
2002-08-12,23.23738785000819
2002-08-13,23.129730183396106
2002-08-14,23.02207251678402
2002-08-15,22.914414850171937
2002-08-16,22.806757183559853
2002-08-17,22.69909951694777
2002-08-18,22.591441850335684
2002-08-19,22.4837841837236
2002-08-20,22.376126517111516
2002-08-21,22.26846885049943
2002-08-22,22.160811183887347
2002-08-23,22.053153517275263
2002-08-24,21.94549585066318
2002-08-25,21.837838184051094
2002-08-26,21.730180517439006
2002-08-27,21.622522850826922
2002-08-28,21.514865184214838
2002-08-29,21.407207517602753
2002-08-30,21.29954985099067
2002-08-31,21.191892184378585
2002-09-01,23.481
2002-09-02,20.69194603174603
2002-09-03,20.488638219864427
2002-09-04,20.285330407982823
2002-09-05,20.082022596101215
2002-09-06,19.87871478421961
2002-09-07,19.675406972338006
2002-09-08,19.472099160456402
2002-09-09,19.268791348574798
2002-09-10,19.06548353669319
2002-09-11,18.862175724811586
2002-09-12,18.65886791292998
2002-09-13,18.455560101048377
2002-09-14,18.25225228916677
2002-09-15,18.048944477285165
2002-09-16,17.84563666540356
2002-09-17,17.642328853521956
2002-09-18,17.439021041640352
2002-09-19,17.235713229758744
2002-09-20,17.03240541787714
2002-09-21,16.829097605995536
2002-09-22,16.62578979411393
2002-09-23,16.422481982232327
2002-09-24,16.21917417035072
2002-09-25,16.015866358469115
2002-09-26,15.81255854658751
2002-09-27,15.609250734705906
2002-09-28,15.405942922824302
2002-09-29,15.202635110942696
2002-09-30,14.99932729906109
2002-10-01,16.256
2002-10-02,14.49436875
2002-10-03,14.313711152210884
2002-10-04,14.133053554421767
