,Temp_C
2011-01-01,-4.889
2011-01-02,-4.244398826979473
2011-01-03,-4.18488565900945
2011-01-04,-4.125372491039427
2011-01-05,-4.065859323069404
2011-01-06,-4.006346155099381
2011-01-07,-3.9468329871293584
2011-01-08,-3.8873198191593357
2011-01-09,-3.827806651189313
2011-01-10,-3.7682934832192903
2011-01-11,-3.708780315249267
2011-01-12,-3.6492671472792444
2011-01-13,-3.5897539793092217
2011-01-14,-3.5302408113391985
2011-01-15,-3.470727643369176
2011-01-16,-3.411214475399153
2011-01-17,-3.3517013074291304
2011-01-18,-3.2921881394591077
2011-01-19,-3.2326749714890846
2011-01-20,-3.173161803519062
2011-01-21,-3.1136486355490387
2011-01-22,-3.054135467579016
2011-01-23,-2.9946222996089933
2011-01-24,-2.9351091316389706
2011-01-25,-2.875595963668948
2011-01-26,-2.816082795698925
2011-01-27,-2.756569627728902
2011-01-28,-2.6970564597588793
2011-01-29,-2.637543291788856
2011-01-30,-2.5780301238188335
2011-01-31,-2.5185169558488107
2011-02-01,-2.5223333333333335
2011-02-02,-2.2764549023012646
2011-02-03,-2.0939060167237407
2011-02-04,-1.9113571311462172
2011-02-05,-1.7288082455686933
2011-02-06,-1.5462593599911698
2011-02-07,-1.3637104744136461
2011-02-08,-1.1811615888361224
2011-02-09,-0.9986127032585987
2011-02-10,-0.816063817681075
2011-02-11,-0.6335149321035514
2011-02-12,-0.4509660465260277
2011-02-13,-0.2684171609485042
2011-02-14,-0.0858682753709803
2011-02-15,0.09668061020654317
2011-02-16,0.2792294957840671
2011-02-17,0.46177838136159055
2011-02-18,0.644327266939114
2011-02-19,0.8268761525166379
2011-02-20,1.0094250380941614
2011-02-21,1.1919739236716853
2011-02-22,1.3745228092492088
2011-02-23,1.5570716948267327
2011-02-24,1.7396205804042566
2011-02-25,1.9221694659817796
2011-02-26,2.1047183515593035
2011-02-27,2.2872672371368274
2011-02-28,2.4698161227143505
2011-03-01,3.7146666666666674
2011-03-02,1.9783613756613758
2011-03-03,2.2022422909171078
2011-03-04,2.4261232061728397
2011-03-05,2.6500041214285717
2011-03-06,2.8738850366843036
2011-03-07,3.0977659519400356
2011-03-08,3.3216468671957675
2011-03-09,3.5455277824514995
2011-03-10,3.7694086977072314
2011-03-11,3.9932896129629634
2011-03-12,4.217170528218695
2011-03-13,4.441051443474427
2011-03-14,4.664932358730159
2011-03-15,4.888813273985891
2011-03-16,5.112694189241623
2011-03-17,5.336575104497355
2011-03-18,5.560456019753087
2011-03-19,5.7843369350088185
2011-03-20,6.0082178502645505
2011-03-21,6.232098765520282
2011-03-22,6.455979680776014
2011-03-23,6.679860596031746
2011-03-24,6.903741511287478
2011-03-25,7.12762242654321
2011-03-26,7.351503341798942
2011-03-27,7.575384257054674
2011-03-28,7.799265172310406
2011-03-29,8.023146087566138
2011-03-30,8.24702700282187
2011-03-31,8.470907918077602
2011-04-01,9.046333333333333
2011-04-02,8.612791005291006
2011-04-03,8.818325098054471
2011-04-04,9.023859190817936
2011-04-05,9.2293932835814
2011-04-06,9.434927376344863
2011-04-07,9.640461469108327
2011-04-08,9.845995561871792
2011-04-09,10.051529654635257
2011-04-10,10.257063747398721
2011-04-11,10.462597840162186
2011-04-12,10.66813193292565
2011-04-13,10.873666025689115
2011-04-14,11.079200118452578
2011-04-15,11.284734211216042
2011-04-16,11.490268303979507
2011-04-17,11.695802396742971
2011-04-18,11.901336489506436
2011-04-19,12.106870582269899
2011-04-20,12.312404675033363
2011-04-21,12.517938767796828
2011-04-22,12.723472860560292
2011-04-23,12.929006953323757
2011-04-24,13.134541046087222
2011-04-25,13.340075138850686
2011-04-26,13.54560923161415
2011-04-27,13.751143324377615
2011-04-28,13.95667741714108
2011-04-29,14.162211509904543
2011-04-30,14.367745602668007
2011-05-01,14.607
2011-05-02,14.699995161290321
2011-05-03,14.87945073223272
2011-05-04,15.05890630317512
2011-05-05,15.238361874117517
2011-05-06,15.417817445059917
2011-05-07,15.597273016002315
2011-05-08,15.776728586944715
2011-05-09,15.956184157887114
2011-05-10,16.135639728829513
2011-05-11,16.31509529977191
2011-05-12,16.49455087071431
2011-05-13,16.67400644165671
2011-05-14,16.85346201259911
2011-05-15,17.032917583541508
2011-05-16,17.212373154483906
2011-05-17,17.391828725426308
2011-05-18,17.571284296368706
2011-05-19,17.750739867311104
2011-05-20,17.930195438253502
2011-05-21,18.1096510091959
2011-05-22,18.289106580138302
2011-05-23,18.4685621510807
2011-05-24,18.6480177220231
2011-05-25,18.8274732929655
2011-05-26,19.006928863907895
2011-05-27,19.186384434850297
2011-05-28,19.365840005792695
2011-05-29,19.545295576735093
2011-05-30,19.724751147677495
2011-05-31,19.904206718619893
2011-06-01,20.941166666666664
2011-06-02,20.011593229166667
2011-06-03,20.11016658826361
2011-06-04,20.208739947360552
2011-06-05,20.307313306457495
2011-06-06,20.405886665554437
2011-06-07,20.50446002465138
2011-06-08,20.603033383748322
2011-06-09,20.701606742845264
2011-06-10,20.800180101942207
2011-06-11,20.89875346103915
2011-06-12,20.99732682013609
2011-06-13,21.095900179233034
2011-06-14,21.194473538329976
2011-06-15,21.29304689742692
2011-06-16,21.391620256523865
2011-06-17,21.490193615620804
2011-06-18,21.58876697471775
2011-06-19,21.687340333814692
2011-06-20,21.785913692911635
2011-06-21,21.884487052008577
2011-06-22,21.98306041110552
2011-06-23,22.081633770202462
2011-06-24,22.180207129299404
2011-06-25,22.278780488396347
2011-06-26,22.37735384749329
2011-06-27,22.47592720659023
2011-06-28,22.574500565687174
2011-06-29,22.673073924784116
