Date,Temp_C
2004-10-01,12.46545003574171
2004-10-02,12.23929716108061
2004-10-03,12.012896203751303
2004-10-04,11.786319897115488
2004-10-05,11.559640955645568
2004-10-06,11.332932053461072
2004-10-07,11.106265803475248
2004-10-08,10.879714737138261
2004-10-09,10.653351284760532
2004-10-10,10.427247756398115
2004-10-11,10.201476323279861
2004-10-12,9.976108999754103
2004-10-13,9.75121762573114
2004-10-14,9.52687384959557
2004-10-15,9.303149111561552
2004-10-16,9.080114627442128
2004-10-17,8.857841372802621
2004-10-18,8.636400067467052
2004-10-19,8.41586116034507
2004-10-20,8.196294814546265
2004-10-21,7.977770892747997
2004-10-22,7.760358942781597
2004-10-23,7.544128183402319
2004-10-24,7.329147490206859
2004-10-25,7.115485381663074
2004-10-26,6.903210005215632
2004-10-27,6.692389123431849
2004-10-28,6.483090100152105
2004-10-29,6.275379886609315
2004-10-30,6.06932500748266
2004-10-31,5.864991546851465
2004-11-01,5.662445134015504
2004-11-02,5.461750929149349
2004-11-03,5.262973608759061
2004-11-04,5.06617735091104
2004-11-05,4.871425820203712
2004-11-06,4.678782152454479
2004-11-07,4.4883089390758855
2004-11-08,4.3000682111163195
2004-11-09,4.114121422942617
2004-11-10,3.930529435543753
2004-11-11,3.7493524994365677
2004-11-12,3.57065023715679
2004-11-13,3.3944816253205436
2004-11-14,3.220904976244001
2004-11-15,3.049977919110774
2004-11-16,2.8817573806793257
2004-11-17,2.716299565525034
2004-11-18,2.5536599358137604
2004-11-19,2.3938931906067054
2004-11-20,2.2370532446985227
2004-11-21,2.0831932069933674
2004-11-22,1.9323653584263192
2004-11-23,1.7846211294399161
2004-11-24,1.6400110770283378
2004-11-25,1.4985848613645611
2004-11-26,1.3603912220277907
2004-11-27,1.2254779538520597
2004-11-28,1.093891882418248
2004-11-29,0.9656788392153066
2004-11-30,0.8408836364983969
2004-12-01,0.7195500418740943
2004-12-02,0.6017207526455106
2004-12-03,0.48743736995190545
2004-12-04,0.3767403727402652
2004-12-05,0.2696690916077733
2004-12-06,0.16626168255669693
2004-12-07,0.06655510070474246
2004-12-08,-0.02941492600389406
2004-12-09,-0.12161392304009766
2004-12-10,-0.2100086954355822
2004-12-11,-0.2945673537827931
2004-12-12,-0.37525934003785366
2004-12-13,-0.4520554530738776
2004-12-14,-0.5249278739311487
2004-12-15,-0.59385019070948
2004-12-16,-0.6587974230474725
2004-12-17,-0.7197460461324816
2004-12-18,-0.7766740141848825
2004-12-19,-0.8295607833595193
2004-12-20,-0.8783873340073791
2004-12-21,-0.9231361922401939
2004-12-22,-0.9637914507409304
2004-12-23,-1.0003387887635062
2004-12-24,-1.0327654912651782
2004-12-25,-1.0610604671160937
2004-12-26,-1.0852142663308815
2004-12-27,-1.1052190962683186
2004-12-28,-1.1210688367460904
2004-12-29,-1.1327590540189512
2004-12-30,-1.1402870135699876
2004-12-31,-1.1436516916662116
2005-01-01,-1.14054998463794
2005-01-02,-1.1387117440847678
2005-01-03,-1.132714224788887
2005-01-04,-1.1225620270646912
2005-01-05,-1.1082614962795692
2005-01-06,-1.0898207271964528
2005-01-07,-1.0672495668204238
2005-01-08,-1.040559615716246
2005-01-09,-1.0097642277662713
2005-01-10,-0.9748785083410514
2005-01-11,-0.9359193108578143
2005-01-12,-0.8929052317049919
2005-01-13,-0.8458566035140604
2005-01-14,-0.7947954867631255
2005-01-15,-0.7397456596999099
2005-01-16,-0.6807326065751509
2005-01-17,-0.6177835041807471
2005-01-18,-0.5509272066904467
2005-01-19,-0.48019422880430707
2005-01-20,-0.40561672720170616
2005-01-21,-0.3272284803111454
2005-01-22,-0.2450648664086863
2005-01-23,-0.15916284006038595
2005-01-24,-0.0695609069276566
2005-01-25,0.023700903042001897
2005-01-26,0.12058106401289148
2005-01-27,0.22103658421817407
2005-01-28,0.3250230374431631
2005-01-29,0.4324945959984863
2005-01-30,0.5434040651434859
2005-01-31,0.6577029189168107
2005-02-01,0.7753413373280615
2005-02-02,0.8962682448611359
2005-02-03,1.0204313502368931
2005-02-04,1.1477771873798872
2005-02-05,1.2782511575309066
2005-02-06,1.4117975724445562
2005-02-07,1.5483596986083175
2005-02-08,1.6878798024171764
2005-02-09,1.830299196235499
2005-02-10,1.975558285275672
2005-02-11,2.1235966152209613
2005-02-12,2.2743529205181483
2005-02-13,2.427765173263779
2005-02-14,2.5837706326062784
2005-02-15,2.742305894584756
2005-02-16,2.903306942324198
2005-02-17,3.066709196505537
2005-02-18,3.2324475660283802
2005-02-19,3.4004564987833716
2005-02-20,3.570670032450728
2005-02-21,3.743021845241195
2005-02-22,3.91744530649545
2005-02-23,4.093873527058196
2005-02-24,4.272239409343326
2005-02-25,4.452475697007076
2005-02-26,4.6345150241466895
2005-02-27,4.818289963942983
2005-02-28,5.003733076666197
2005-03-01,5.190776956965793
2005-03-02,5.379354280366174
2005-03-03,5.569397848891984
2005-03-04,5.760840635748354
2005-03-05,5.95361582898338
2005-03-06,6.147656874062317
2005-03-07,6.342897515285193
2005-03-08,6.539271835981937
2005-03-09,6.736714297421921
2005-03-10,6.935159776377255
2005-03-11,7.1345436012823935
2005-03-12,7.334801586935431
2005-03-13,7.5358700676896735
2005-03-14,7.737685929087492
2005-03-15,7.940186637891649
2005-03-16,8.143310270473028
2005-03-17,8.34699553951718
2005-03-18,8.55118181901582
2005-03-19,8.755809167513286
2005-03-20,8.960818349581736
2005-03-21,9.166150855502849
2005-03-22,9.3717489191378
2005-03-23,9.577555533971239
2005-03-24,9.783514467319172
2005-03-25,9.989570272694657
