Datetime,PJME,Estimated_Temp_C
2002-01-01,31080.739130434784,2.4275
2002-01-02,34261.541666666664,-1.1950279935074384
2002-01-03,34511.875,-1.1950279935074384
2002-01-04,33715.458333333336,-1.1950279935074384
2002-01-05,30405.125,-1.1950279935074384
2002-01-06,30323.58333333333,-1.1950279935074384
2002-01-07,33333.833333333336,-1.1950279935074384
2002-01-08,34362.916666666664,-1.1950279935074384
2002-01-09,33776.166666666664,-1.1950279935074384
2002-01-10,31471.541666666668,-1.1950279935074384
2002-01-11,30947.541666666668,-1.1950279935074384
2002-01-12,28466.875,-1.1950279935074384
2002-01-13,28052.83333333333,-1.1950279935074384
2002-01-14,31602.95833333333,-1.1950279935074384
2002-01-15,31223.791666666668,-1.1588518725624184
2002-01-16,32009.75,-1.1588518725624184
2002-01-17,31881.291666666668,-1.1588518725624184
2002-01-18,32043.125,-1.1588518725624184
2002-01-19,31926.33333333333,-1.1588518725624184
2002-01-20,29482.916666666668,-1.1588518725624184
2002-01-21,32434.916666666668,-1.1588518725624184
2002-01-22,31539.625,-1.1588518725624184
2002-01-23,31494.33333333333,-1.1588518725624184
2002-01-24,30615.75,-1.1588518725624184
2002-01-25,30183.83333333333,-1.1588518725624184
2002-01-26,28076.666666666668,-1.1588518725624184
2002-01-27,26645.58333333333,-1.1588518725624184
2002-01-28,29487.83333333333,-1.1588518725624184
2002-01-29,29028.20833333333,-1.1588518725624184
2002-01-30,28574.83333333333,-1.1588518725624184
2002-01-31,30375.83333333333,-1.0289629466505053
2002-02-01,29662.875,3.155
2002-02-02,28647.08333333333,-0.2987847195624673
2002-02-03,28598.75,-0.2987847195624673
2002-02-04,32563.666666666668,-0.2987847195624673
2002-02-05,34954.208333333336,-0.2987847195624673
2002-02-06,32970.041666666664,-0.2987847195624673
2002-02-07,32225.08333333333,-0.2987847195624673
2002-02-08,30829.666666666668,-0.2987847195624673
2002-02-09,27723.416666666668,-0.2987847195624673
2002-02-10,26787.541666666668,-0.2987847195624673
2002-02-11,30866.5,-0.2987847195624673
2002-02-12,32908.625,-0.2987847195624673
2002-02-13,31965.166666666668,-0.2987847195624673
2002-02-14,33175.625,-0.3835771585123267
2002-02-15,31664.70833333333,-0.3835771585123267
2002-02-16,26852.08333333333,0.8404677257323471
2002-02-17,26883.25,4.664829410131366
2002-02-18,30929.125,4.664829410131366
2002-02-19,31155.83333333333,4.664829410131366
2002-02-20,29674.166666666668,4.664829410131366
2002-02-21,28554.125,4.664829410131366
2002-02-22,29054.625,4.664829410131366
2002-02-23,27607.08333333333,4.664829410131366
2002-02-24,27033.95833333333,4.664829410131366
2002-02-25,29920.041666666668,4.664829410131366
2002-02-26,29319.416666666668,4.664829410131366
2002-02-27,31410.875,4.664829410131366
2002-02-28,32759.125,4.664829410131366
2002-03-01,31536.95833333333,5.935499999999999
2002-03-02,28492.33333333333,6.412614664601432
2002-03-03,25644.33333333333,6.412614664601432
2002-03-04,32252.166666666668,6.412614664601432
2002-03-05,34056.291666666664,6.412614664601432
2002-03-06,31165.125,6.412614664601432
2002-03-07,29271.83333333333,6.412614664601432
2002-03-08,28361.75,6.412614664601432
2002-03-09,25220.70833333333,6.412614664601432
2002-03-10,25758.5,6.412614664601432
2002-03-11,31188.416666666668,6.412614664601432
2002-03-12,30832.25,6.412614664601432
2002-03-13,30312.041666666668,6.412614664601432
2002-03-14,28774.70833333333,6.412614664601432
2002-03-15,27749.45833333333,6.412614664601432
2002-03-16,24863.166666666668,6.412614664601432
2002-03-17,26989.416666666668,6.412614664601432
2002-03-18,30982.95833333333,10.646783419540816
2002-03-19,29976.08333333333,10.646783419540816
2002-03-20,30941.5,10.646783419540816
2002-03-21,29635.0,10.646783419540816
2002-03-22,32752.70833333333,10.646783419540816
2002-03-23,29010.25,10.646783419540816
2002-03-24,26193.916666666668,10.646783419540816
2002-03-25,29443.166666666668,10.646783419540816
2002-03-26,30842.625,10.646783419540816
2002-03-27,29756.875,10.646783419540816
2002-03-28,29495.70833333333,10.646783419540816
2002-03-29,26531.625,10.646783419540816
2002-03-30,24101.33333333333,10.646783419540816
2002-03-31,22999.75,10.646783419540816
2002-04-01,27520.58333333333,12.4165
2002-04-02,28650.541666666668,11.187192238411004
2002-04-03,28393.70833333333,11.187192238411004
2002-04-04,29335.041666666668,11.187192238411004
2002-04-05,29942.625,11.187192238411004
2002-04-06,27764.375,11.187192238411004
2002-04-07,26478.304347826088,11.187192238411004
2002-04-08,28891.125,11.187192238411004
2002-04-09,28389.08333333333,11.187192238411004
2002-04-10,27737.95833333333,11.187192238411004
2002-04-11,28010.20833333333,11.187192238411004
2002-04-12,28046.95833333333,11.187192238411004
2002-04-13,25014.291666666668,11.187192238411004
2002-04-14,24187.75,11.187192238411004
2002-04-15,29472.375,11.187192238411004
2002-04-16,33161.583333333336,15.891073214788465
2002-04-17,36213.75,15.810484760148224
2002-04-18,36385.54166666666,15.810484760148224
2002-04-19,33778.833333333336,15.810484760148224
2002-04-20,27228.08333333333,15.810484760148224
2002-04-21,24151.25,15.810484760148224
2002-04-22,28221.75,15.810484760148224
2002-04-23,28559.625,15.810484760148224
2002-04-24,28575.916666666668,15.810484760148224
2002-04-25,28838.875,15.810484760148224
2002-04-26,27996.166666666668,15.810484760148224
2002-04-27,24719.08333333333,15.810484760148224
2002-04-28,24306.791666666668,15.810484760148224
2002-04-29,27705.916666666668,15.810484760148224
2002-04-30,28278.166666666668,15.810484760148224
2002-05-01,27887.20833333333,15.5635
2002-05-02,28834.33333333333,17.152276957690475
