Datetime,NI,Estimated_Temp_C
2004-05-01,9090.652173913044,18.095
2004-05-02,8441.75,16.967581314097718
2004-05-03,10133.75,16.967581314097718
2004-05-04,10314.708333333334,16.967581314097718
2004-05-05,10155.958333333334,16.967581314097718
2004-05-06,10827.416666666666,16.967581314097718
2004-05-07,10143.333333333334,16.967581314097718
2004-05-08,9185.0,16.967581314097718
2004-05-09,9112.125,16.967581314097718
2004-05-10,11551.5,16.967581314097718
2004-05-11,11345.041666666666,16.967581314097718
2004-05-12,12268.291666666666,16.967581314097718
2004-05-13,12105.791666666666,16.967581314097718
2004-05-14,10874.583333333334,20.387444131324354
2004-05-15,8990.791666666666,20.387444131324354
2004-05-16,8428.708333333334,20.387444131324354
2004-05-17,10995.791666666666,21.81321115274193
2004-05-18,10813.458333333334,21.81321115274193
2004-05-19,10552.041666666666,21.81321115274193
2004-05-20,12494.916666666666,21.81321115274193
2004-05-21,11385.083333333334,21.81321115274193
2004-05-22,10307.083333333334,21.81321115274193
2004-05-23,9532.5,21.81321115274193
2004-05-24,10552.625,21.81321115274193
2004-05-25,10647.333333333334,21.81321115274193
2004-05-26,10465.75,21.81321115274193
2004-05-27,10874.041666666666,21.81321115274193
2004-05-28,10148.083333333334,21.81321115274193
2004-05-29,8800.291666666666,21.81321115274193
2004-05-30,8723.375,21.81321115274193
2004-05-31,8557.916666666666,21.81998899597828
2004-06-01,10415.333333333334,20.508000000000003
2004-06-02,10577.0,21.838687644933604
2004-06-03,10483.833333333334,21.838687644933604
2004-06-04,10505.75,21.838687644933604
2004-06-05,9543.0,21.838687644933604
2004-06-06,9841.5,21.838687644933604
2004-06-07,13464.333333333334,21.838687644933604
2004-06-08,15766.416666666666,21.838687644933604
2004-06-09,15518.458333333334,21.838687644933604
2004-06-10,12213.416666666666,21.838687644933604
2004-06-11,12701.833333333334,21.838687644933604
2004-06-12,11738.5,21.838687644933604
2004-06-13,11352.25,21.838687644933604
2004-06-14,13481.25,21.838687644933604
2004-06-15,13100.208333333334,21.838687644933604
2004-06-16,13237.416666666666,22.93960838050561
2004-06-17,13857.291666666666,22.93960838050561
2004-06-18,12524.291666666666,22.93960838050561
2004-06-19,9604.416666666666,22.93960838050561
2004-06-20,8716.833333333334,22.93960838050561
2004-06-21,10827.375,22.93960838050561
2004-06-22,11084.125,22.93960838050561
2004-06-23,11586.125,22.93960838050561
2004-06-24,10964.541666666666,22.93960838050561
2004-06-25,10520.625,22.93960838050561
2004-06-26,9673.541666666666,22.93960838050561
2004-06-27,9310.708333333334,22.93960838050561
2004-06-28,11193.125,22.93960838050561
2004-06-29,11795.208333333334,22.93960838050561
2004-06-30,12784.458333333334,23.128991474774576
2004-07-01,13581.5,22.329
2004-07-02,13124.166666666666,23.128991474774576
2004-07-03,11487.791666666666,23.128991474774576
2004-07-04,10809.875,23.128991474774576
2004-07-05,10581.125,23.128991474774576
2004-07-06,12571.791666666666,23.128991474774576
2004-07-07,11616.666666666666,23.128991474774576
2004-07-08,11318.458333333334,23.128991474774576
2004-07-09,11443.708333333334,23.128991474774576
2004-07-10,11281.125,23.128991474774576
2004-07-11,11749.375,23.128991474774576
2004-07-12,14768.125,23.128991474774576
2004-07-13,14988.125,23.128991474774576
2004-07-14,13555.916666666666,23.128991474774576
2004-07-15,13334.291666666666,23.128991474774576
2004-07-16,13638.041666666666,23.128991474774576
2004-07-17,11228.083333333334,23.128991474774576
2004-07-18,10522.666666666666,23.128991474774576
2004-07-19,12948.291666666666,23.128991474774576
2004-07-20,15200.916666666666,23.128991474774576
2004-07-21,15684.666666666666,23.128991474774576
2004-07-22,15312.375,23.128991474774576
2004-07-23,12138.041666666666,23.128991474774576
2004-07-24,9824.75,23.128991474774576
2004-07-25,9345.25,23.128991474774576
2004-07-26,11148.333333333334,23.128991474774576
2004-07-27,11816.916666666666,23.128991474774576
2004-07-28,12741.25,23.128991474774576
2004-07-29,13197.291666666666,23.128991474774576
2004-07-30,12411.208333333334,23.128991474774576
2004-07-31,11406.0,23.128991474774576
2004-08-01,11853.916666666666,20.303
2004-08-02,15285.958333333334,22.445344454450776
2004-08-03,15729.125,22.445344454450776
2004-08-04,12901.708333333334,22.445344454450776
2004-08-05,11496.541666666666,22.445344454450776
2004-08-06,11248.708333333334,22.445344454450776
2004-08-07,10140.125,22.445344454450776
2004-08-08,10076.083333333334,22.445344454450776
2004-08-09,12957.416666666666,22.445344454450776
2004-08-10,11544.25,22.445344454450776
2004-08-11,10585.083333333334,22.445344454450776
2004-08-12,10369.541666666666,22.445344454450776
2004-08-13,10507.666666666666,22.445344454450776
2004-08-14,9432.958333333334,22.445344454450776
2004-08-15,8953.083333333334,22.445344454450776
2004-08-16,11047.666666666666,22.445344454450776
2004-08-17,12203.25,22.445344454450776
2004-08-18,12487.375,19.02548163722414
2004-08-19,11618.125,19.02548163722414
2004-08-20,11115.208333333334,19.02548163722414
2004-08-21,10003.166666666666,19.02548163722414
2004-08-22,9577.833333333334,19.02548163722414
2004-08-23,12800.875,19.02548163722414
2004-08-24,12857.25,19.02548163722414
2004-08-25,12714.75,19.02548163722414
2004-08-26,13478.0,19.02548163722414
2004-08-27,14831.791666666666,19.02548163722414
2004-08-28,11532.708333333334,19.02548163722414
2004-08-29,9146.625,19.02548163722414
2004-08-30,11141.541666666666,19.02548163722414
2004-08-31,12167.583333333334,19.02548163722414
2004-09-01,12507.708333333334,19.615
2004-09-02,13620.0,18.365299844762223
2004-09-03,13641.666666666666,18.365299844762223
2004-09-04,12232.208333333334,18.365299844762223
